Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,235.50,347.50,0.65,67.02,35.35,79.00,5.88,1.52,15.50,2.02,5.70,NA,NA,NA,NA,7.00,67.00,0.30,21.75,NA,0.00,7.00,741.00,NA
2019-01-01 01:00:00,231.75,338.00,0.75,65.97,35.03,82.73,5.35,1.40,16.18,1.80,4.73,NA,NA,NA,NA,6.45,68.50,0.30,22.00,NA,0.00,7.00,741.00,NA
2019-01-01 02:00:00,225.75,332.00,NA,53.55,27.38,81.27,4.88,1.33,24.66,1.80,4.30,NA,NA,NA,NA,5.80,69.75,0.30,21.25,NA,0.00,7.00,741.00,NA
2019-01-01 03:00:00,231.00,NA,NA,46.30,23.23,80.67,2.25,1.32,24.22,1.60,4.18,NA,NA,NA,NA,5.03,71.75,0.30,21.00,NA,0.00,7.00,741.00,NA
2019-01-01 04:00:00,238.50,NA,NA,38.75,19.43,82.17,4.57,1.27,29.75,1.60,4.15,NA,NA,NA,NA,4.88,72.00,0.30,21.00,NA,0.00,7.00,741.00,NA
2019-01-01 05:00:00,235.25,NA,NA,36.77,19.08,85.42,6.10,1.25,26.53,1.42,4.90,NA,NA,NA,NA,4.88,72.00,0.30,21.00,NA,0.00,7.00,741.00,NA
2019-01-01 06:00:00,241.50,NA,NA,41.75,21.38,87.68,6.60,1.38,20.17,1.47,4.60,NA,NA,NA,NA,4.00,74.00,0.30,21.00,NA,0.00,6.50,741.00,NA
2019-01-01 07:00:00,259.75,NA,1.90,46.88,26.20,92.45,7.17,1.79,12.54,2.28,5.65,NA,NA,NA,NA,3.45,75.75,0.30,21.00,NA,0.00,8.50,741.00,NA
2019-01-01 08:00:00,303.00,NA,7.80,55.80,36.00,104.30,5.40,1.82,11.42,3.05,7.15,NA,NA,NA,NA,4.65,74.50,0.30,23.25,NA,0.00,32.00,741.00,NA
2019-01-01 09:00:00,349.25,NA,10.82,58.50,39.90,124.50,5.53,2.33,6.62,3.75,10.15,NA,NA,NA,NA,6.02,70.25,0.30,24.50,NA,0.00,64.50,741.75,NA
2019-01-01 10:00:00,429.25,NA,27.65,77.28,63.55,138.35,10.25,3.53,12.61,5.08,11.30,NA,NA,NA,NA,7.60,66.25,0.30,23.75,NA,0.00,79.25,742.00,NA
2019-01-01 11:00:00,550.00,NA,7.22,88.50,52.97,140.70,30.55,2.99,35.12,5.77,20.05,NA,NA,NA,NA,11.45,58.50,0.30,21.25,NA,0.00,81.75,741.50,NA
2019-01-01 12:00:00,550.50,740.00,3.97,67.92,39.35,140.95,45.77,2.30,53.65,3.43,7.03,NA,NA,NA,NA,15.18,53.50,0.30,24.00,NA,0.00,131.00,741.00,NA
2019-01-01 13:00:00,398.25,522.00,2.70,66.35,37.48,140.05,58.50,2.00,72.13,3.30,12.88,NA,NA,NA,NA,18.25,47.75,0.30,28.00,NA,0.00,132.50,741.00,NA
2019-01-01 14:00:00,308.50,413.50,0.72,54.70,29.65,116.60,39.65,1.53,94.48,2.55,7.55,NA,NA,NA,NA,19.43,43.25,0.30,25.25,NA,0.00,102.75,741.00,NA
2019-01-01 15:00:00,227.25,321.75,0.75,68.73,36.85,91.95,42.32,1.53,87.07,2.25,28.80,NA,NA,NA,NA,18.40,43.50,0.30,21.75,NA,0.00,55.50,741.00,NA
2019-01-01 16:00:00,201.50,317.00,1.00,80.28,43.50,81.93,43.33,1.74,76.72,2.38,19.37,NA,NA,NA,NA,16.38,46.25,0.30,21.00,NA,0.00,17.75,741.00,NA
