Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,191.21,284.79,8.61,34.69,25.03,71.46,17.84,0.9,0.57,0.0,0.01,,,,,,,,,0.0,0.0,,,
2019-01-01 01:00:00,188.83,286.47,7.29,34.02,23.62,76.13,18.19,0.89,0.21,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 02:00:00,190.52,283.43,7.2,33.33,23.18,75.91,15.94,0.92,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 03:00:00,193.18,290.42,8.0,32.43,23.36,67.86,13.33,1.01,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 04:00:00,190.25,289.24,7.19,34.94,24.02,83.59,12.89,0.97,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 05:00:00,196.19,285.88,7.25,34.9,24.05,73.98,14.23,1.0,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 06:00:00,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 07:00:00,105.28,292.36,8.8,35.93,25.82,41.2,13.48,1.1,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 08:00:00,210.56,292.36,9.94,34.45,25.97,66.45,17.42,1.56,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 09:00:00,210.56,292.36,10.94,34.57,26.83,67.03,24.59,1.42,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 10:00:00,171.24,237.76,7.35,34.57,23.95,75.61,23.63,1.19,1.82,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 11:00:00,50.69,311.39,3.27,34.66,20.73,98.89,18.49,1.07,23.64,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 12:00:00,261.18,393.09,3.35,32.55,19.69,94.66,15.99,1.11,44.81,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 13:00:00,265.09,359.31,2.33,29.09,17.07,90.35,17.94,1.06,58.48,8.75,,,,7.0,5.79,,,,,0.0,0.0,,,
2019-01-01 14:00:00,263.61,340.66,1.58,24.64,14.13,92.26,22.51,0.96,68.73,7.75,,,,4.75,4.44,,,,,0.0,0.0,,,
2019-01-01 15:00:00,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-01 16:00:00,207.9,305.68,1.84,23.03,13.51,61.75,22.47,0.92,64.63,7.0,,,,3.75,2.99,,,,,0.0,0.0,,,
2019-01-01 17:00:00,208.61,308.01,3.04,24.42,15.19,59.19,22.75,0.95,60.67,6.25,,,,3.25,2.56,,,,,0.0,0.0,,,
2019-01-01 18:00:00,211.55,333.74,7.42,43.36,28.61,61.2,24.91,1.66,9.34,7.25,,,,4.5,3.57,,,,,0.0,0.0,,,
2019-01-01 19:00:00,190.07,388.85,28.05,59.26,53.45,58.88,28.43,2.3,,13.5,,,,7.75,6.82,,,,,0.0,0.0,,,
2019-01-01 20:00:00,167.55,408.46,38.4,68.98,66.83,63.33,21.55,1.99,,13.0,,,,8.5,7.97,,,,,0.0,0.0,,,
2019-01-01 21:00:00,619.9,490.31,27.7,72.93,60.32,84.21,17.63,1.74,,12.0,,,,9.0,8.19,,,,,0.0,0.0,,,
2019-01-01 22:00:00,343.79,481.73,19.81,73.59,54.34,89.41,20.05,1.93,,13.25,,,,8.5,7.84,,,,,0.0,0.0,,,
2019-01-01 23:00:00,373.27,478.12,27.11,72.47,59.6,87.93,27.65,2.01,,15.0,,,,8.0,7.59,,,,,0.0,0.0,,,
2019-01-02 00:00:00,378.33,490.89,37.63,66.01,64.67,67.87,19.25,2.03,,4.5,0.57,,,2.25,2.03,,,,,0.0,0.0,,,
2019-01-02 01:00:00,382.12,500.5,36.55,61.65,61.52,66.4,29.82,1.9,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 02:00:00,383.33,496.51,30.16,59.94,55.51,71.27,30.3,1.93,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 03:00:00,374.62,492.88,20.71,57.37,46.59,69.95,39.36,1.87,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 04:00:00,365.94,481.37,14.49,51.27,38.41,58.18,34.87,1.77,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 05:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2019-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2019-01-02 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2019-01-02 08:00:00,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 09:00:00,368.66,485.92,14.12,52.52,38.76,55.81,61.07,2.65,,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 10:00:00,368.66,485.92,8.51,50.54,33.23,68.97,39.09,1.63,17.08,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 11:00:00,368.66,485.92,2.52,40.84,23.36,69.33,26.14,1.16,47.13,0.0,0.0,,,,,,,,,0.0,0.0,,,
2019-01-02 12:00:00,358.59,476.59,2.11,37.53,21.3,81.67,29.0,1.06,64.81,5.25,0.0,,,4.0,3.14,,,,,0.0,0.0,,,
2019-01-02 13:00:00,132.81,178.4,2.03,38.4,21.69,95.13,39.17,1.08,84.29,9.0,,,,6.75,5.74,,,,,0.0,0.0,,,
2019-01-02 14:00:00,236.89,346.98,2.05,40.38,22.73,79.92,43.63,1.2,105.71,9.0,,,,7.0,5.7,,,,,0.0,0.0,,,
2019-01-02 15:00:00,166.94,359.18,2.1,41.48,23.35,44.08,40.62,1.12,88.45,4.75,0.0,,,3.5,2.79,,,,,0.0,0.0,,,
2019-01-02 16:00:00,226.83,372.87,2.78,40.49,23.38,93.87,29.22,1.04,78.45,9.0,,,,6.5,5.29,,,,,0.0,0.0,,,
