Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,271.5,388.5,9.18,28.15,22.42,8.77,3.52,2.32,0.5,0.88,0.4,,,,,6.8,,0.3,42.0,0.0,0.0,8.0,741.0,
2020-01-01 01:00:00,289.75,412.0,5.2,29.4,19.9,10.85,3.22,2.3,2.78,0.9,0.5,,,,,6.1,,0.45,43.5,0.0,0.0,8.0,741.0,
2020-01-01 02:00:00,288.5,374.0,1.48,26.88,15.35,11.9,3.45,2.14,8.7,0.92,0.35,,,,,5.35,,0.3,39.75,0.0,0.0,8.0,741.0,
2020-01-01 03:00:00,263.75,325.75,,23.88,12.4,11.48,2.9,2.03,10.62,0.8,0.3,,,,,4.7,,0.38,38.75,0.0,0.0,8.0,741.0,
2020-01-01 04:00:00,243.5,298.25,2.6,20.52,11.38,10.15,2.72,1.99,5.3,0.72,0.3,,,,,3.18,,0.3,38.0,0.0,0.0,8.0,741.0,
2020-01-01 05:00:00,223.25,265.0,4.95,16.42,12.72,9.45,1.88,2.04,0.5,0.75,0.3,,,,,2.52,,0.3,41.75,0.0,0.0,8.0,741.0,
2020-01-01 06:00:00,201.5,241.5,3.48,18.08,12.42,8.7,2.07,2.18,1.0,0.72,0.3,,,,,1.83,,0.3,43.0,0.0,0.0,8.0,741.0,
2020-01-01 07:00:00,214.5,271.0,15.7,19.4,23.0,39.7,5.3,3.18,1.25,0.82,0.32,,,,,2.22,,0.3,43.5,0.0,0.0,16.0,741.0,
2020-01-01 08:00:00,334.25,455.0,21.52,29.75,33.3,26.4,5.03,3.56,6.0,1.85,0.6,,,,,5.9,,0.8,53.5,0.0,0.0,60.5,741.75,
2020-01-01 09:00:00,490.0,615.5,7.42,41.65,28.22,23.0,6.72,2.48,27.45,1.12,0.42,,,,,11.98,,1.38,70.0,0.0,0.0,116.5,742.0,
2020-01-01 10:00:00,318.25,404.75,2.95,33.4,20.15,24.85,7.22,1.81,67.47,0.75,0.28,,,,,17.9,,2.45,80.5,0.0,0.0,176.25,742.0,
2020-01-01 11:00:00,191.75,275.5,0.65,23.33,12.95,24.88,8.05,1.36,102.95,0.43,0.2,,,,,21.17,,3.32,89.25,0.0,0.0,207.5,742.0,
2020-01-01 12:00:00,111.5,198.0,0.2,22.92,12.02,23.45,9.72,1.29,113.52,0.35,0.15,,,,,21.9,,3.68,78.5,0.0,0.0,169.0,742.0,
2020-01-01 13:00:00,98.25,174.5,,21.7,11.4,23.2,9.18,1.28,120.5,0.38,0.2,,,,,22.82,,3.4,75.75,0.0,0.0,149.5,742.0,
2020-01-01 14:00:00,94.25,170.0,,20.02,10.2,22.22,9.18,1.23,122.2,0.3,0.2,,,,,24.17,,3.52,75.75,0.0,0.0,148.75,742.0,
2020-01-01 15:00:00,83.0,181.25,0.25,19.1,10.23,22.28,9.2,1.19,118.62,0.3,0.1,,,,,24.4,,1.8,64.0,0.0,0.0,94.25,742.0,
2020-01-01 16:00:00,87.75,181.25,0.38,20.38,11.02,22.4,8.75,1.12,100.02,0.22,0.15,,,,,22.68,,0.82,50.5,0.0,0.0,42.75,742.0,
2020-01-01 17:00:00,90.75,210.0,7.8,38.12,23.22,18.4,7.0,1.91,30.52,0.32,0.25,,,,,18.92,,0.3,45.25,0.0,0.0,10.75,742.0,
2020-01-01 18:00:00,168.75,358.0,3.68,40.0,24.28,21.48,5.88,2.2,23.67,0.92,0.68,,,,,15.48,,0.3,42.5,0.0,0.0,8.0,742.0,
2020-01-01 19:00:00,332.25,442.25,38.15,49.98,57.58,11.35,6.28,4.72,2.7,2.33,0.92,,,,,12.82,,0.3,42.25,0.0,0.0,8.0,742.0,
2020-01-01 20:00:00,529.5,667.0,32.8,39.42,61.2,15.95,7.0,5.13,1.52,2.15,0.85,,,,,12.68,,0.3,42.0,0.0,0.0,8.0,742.0,
2020-01-01 21:00:00,466.75,611.0,,33.1,93.6,4.35,,4.55,0.68,2.07,0.88,,,,,11.22,,0.3,44.0,0.0,0.0,8.0,742.0,
2020-01-01 22:00:00,417.75,588.25,,32.2,88.12,10.1,,,0.9,1.78,0.95,,,,,10.07,,0.3,45.75,0.0,0.0,8.0,742.0,
2020-01-01 23:00:00,385.0,507.5,,30.72,81.9,13.5,,,0.78,1.85,1.27,,,,,9.82,,0.3,44.25,0.0,0.0,8.0,742.0,
2020-01-02 00:00:00,345.5,457.5,46.98,38.52,58.65,20.78,6.35,2.96,0.25,1.6,1.03,,,,,9.52,,0.3,44.75,0.0,0.0,8.0,742.0,
2020-01-02 01:00:00,267.75,335.0,,30.78,46.1,21.52,,2.66,0.25,1.32,0.7,,,,,8.28,,0.3,44.25,0.0,0.0,8.0,741.25,
2020-01-02 02:00:00,249.25,317.25,,26.83,41.42,20.75,,2.42,,1.12,0.57,,,,,7.38,,0.3,41.75,0.0,0.0,8.0,741.0,
2020-01-02 03:00:00,228.0,297.0,,22.95,42.2,17.85,,2.32,0.1,1.18,0.5,,,,,7.07,,0.3,40.0,0.0,0.0,8.0,741.0,
2020-01-02 04:00:00,207.25,279.0,,22.62,31.8,19.12,,,0.25,1.72,0.48,,,,,6.92,,0.3,40.0,0.0,0.0,8.0,741.0,
2020-01-02 05:00:00,174.0,242.25,,22.12,24.78,19.15,,,0.75,1.33,0.35,,,,,7.0,,0.3,41.25,0.0,0.0,8.0,741.0,
2020-01-02 06:00:00,157.0,218.0,,24.58,21.72,17.55,,,1.0,1.1,0.3,,,,,6.98,,0.3,44.0,0.0,0.0,8.0,741.0,
2020-01-02 07:00:00,176.5,250.75,11.2,18.5,18.9,44.8,3.8,2.11,0.98,1.18,0.35,,,,,6.8,,0.3,44.25,0.0,0.0,14.5,741.5,
2020-01-02 08:00:00,238.5,371.75,20.83,26.02,36.5,23.92,2.97,3.18,0.8,1.22,0.42,,,,,8.98,,0.3,51.0,0.0,0.0,44.75,742.0,
2020-01-02 09:00:00,344.5,532.5,12.7,61.12,61.12,86.9,9.35,2.45,3.3,1.67,0.62,,,,,15.8,,0.68,70.5,0.0,0.0,116.0,742.0,
