Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,763.00,718.00,222.02,95.12,231.08,101.60,1.90,4.36,NA,NA,NA,NA,NA,NA,NA,8.62,86.75,0.82,250.50,NA,0.00,12.00,740.00,NA
2020-01-01 01:00:00,507.25,650.75,61.80,94.48,100.50,81.53,NA,0.64,NA,NA,NA,NA,NA,NA,NA,8.18,85.00,0.72,82.75,NA,0.00,12.00,740.00,NA
2020-01-01 02:00:00,337.75,451.25,78.70,76.98,104.95,74.20,3.00,2.71,NA,NA,NA,NA,NA,NA,NA,7.52,87.50,0.57,100.50,NA,0.00,12.00,740.00,NA
2020-01-01 03:00:00,352.50,453.25,82.35,68.80,103.52,70.75,2.40,2.67,NA,NA,NA,NA,NA,NA,NA,6.70,89.50,0.30,168.00,NA,0.00,12.00,740.00,NA
2020-01-01 04:00:00,360.00,441.00,99.30,56.12,110.57,68.47,2.47,2.86,NA,NA,NA,NA,NA,NA,NA,6.68,90.50,0.40,235.25,NA,0.00,12.00,740.00,NA
2020-01-01 05:00:00,347.50,438.25,103.65,50.00,110.85,67.38,3.82,2.63,NA,NA,NA,NA,NA,NA,NA,6.42,92.00,0.38,298.25,NA,0.00,12.00,740.00,NA
2020-01-01 06:00:00,335.25,415.25,89.32,51.98,100.28,66.30,3.78,2.64,NA,NA,NA,NA,NA,NA,NA,6.65,89.50,0.42,217.25,NA,0.00,12.00,740.00,NA
2020-01-01 07:00:00,355.25,458.50,123.70,73.90,143.20,65.70,199.50,NA,NA,NA,NA,NA,NA,NA,NA,7.02,87.00,0.62,183.75,NA,0.00,22.25,740.25,NA
2020-01-01 08:00:00,434.00,574.50,89.15,108.25,130.05,74.30,6.15,2.86,NA,NA,NA,NA,NA,NA,NA,8.62,79.50,0.88,251.75,NA,0.00,61.75,741.00,NA
2020-01-01 09:00:00,427.75,591.75,42.62,181.12,131.00,102.02,9.38,2.28,2.11,NA,NA,NA,NA,NA,NA,11.25,64.50,1.42,73.50,NA,0.00,118.25,741.75,NA
2020-01-01 10:00:00,361.50,487.50,16.05,99.88,66.18,104.05,17.77,1.70,13.73,NA,NA,NA,NA,NA,NA,13.70,56.75,1.72,82.50,NA,0.00,157.25,742.00,NA
2020-01-01 11:00:00,270.75,392.50,7.85,57.58,36.98,77.95,23.10,0.95,31.99,NA,NA,NA,NA,NA,NA,15.52,53.75,2.28,87.50,1.00,1.00,170.25,742.00,NA
2020-01-01 12:00:00,172.75,245.25,4.12,43.28,26.35,74.08,22.42,0.92,43.42,NA,NA,NA,NA,NA,NA,16.85,52.50,2.45,90.75,NA,0.00,182.50,742.00,NA
2020-01-01 13:00:00,137.25,210.25,4.18,45.70,27.70,71.77,27.33,0.82,47.17,NA,NA,NA,NA,NA,NA,17.75,50.75,2.17,98.75,NA,0.00,157.75,742.00,NA
2020-01-01 14:00:00,124.50,201.75,6.80,61.02,38.02,74.15,45.32,0.87,41.27,NA,NA,NA,NA,NA,NA,18.30,51.25,2.05,102.25,NA,0.00,117.50,742.00,NA
2020-01-01 15:00:00,123.00,194.50,3.58,50.85,29.98,75.80,25.98,0.78,58.71,NA,NA,NA,NA,NA,NA,18.60,48.75,1.85,92.25,NA,0.00,64.50,742.00,NA
2020-01-01 16:00:00,100.00,167.75,2.28,47.32,27.00,65.00,14.10,0.85,63.17,NA,NA,NA,NA,NA,NA,18.08,48.50,1.32,112.50,NA,0.00,37.50,742.00,NA
2020-01-01 17:00:00,93.50,163.75,19.55,87.45,62.42,64.85,10.58,1.37,22.36,NA,NA,NA,NA,NA,NA,16.08,58.50,0.42,142.25,NA,0.00,17.75,741.50,NA
2020-01-01 18:00:00,161.00,292.75,349.83,148.28,363.30,75.28,9.72,6.74,3.70,NA,NA,NA,NA,NA,NA,12.98,77.00,0.30,197.25,NA,0.00,12.00,741.00,NA
2020-01-01 19:00:00,366.75,614.00,NA,159.95,NA,104.55,14.20,0.01,4.90,NA,NA,NA,NA,NA,NA,12.08,84.50,0.30,203.00,NA,0.00,12.00,741.00,NA
2020-01-01 20:00:00,671.50,896.00,NA,159.57,NA,115.50,15.45,0.02,NA,NA,NA,NA,NA,NA,NA,12.02,86.25,0.30,294.00,NA,0.00,12.00,741.00,NA
2020-01-01 21:00:00,896.75,NA,NA,148.12,NA,135.45,11.10,0.02,NA,NA,NA,NA,NA,NA,NA,11.52,88.00,0.30,340.00,NA,0.00,12.00,741.00,NA
2020-01-01 22:00:00,980.75,NA,NA,131.60,NA,136.88,9.45,0.01,NA,NA,NA,NA,NA,NA,NA,11.18,88.75,0.32,284.75,NA,0.00,12.00,741.00,NA
2020-01-01 23:00:00,912.00,919.00,434.50,108.48,439.15,117.70,6.43,4.04,NA,NA,NA,NA,NA,NA,NA,10.95,88.25,0.40,278.00,NA,0.00,12.00,741.00,NA
2020-01-02 00:00:00,671.50,845.50,346.48,83.35,326.02,107.85,2.58,6.24,NA,NA,NA,NA,NA,NA,NA,10.35,88.50,0.30,344.00,NA,0.00,12.00,741.00,NA
2020-01-02 01:00:00,484.50,590.75,224.60,67.50,218.48,99.32,0.45,4.16,NA,NA,NA,NA,NA,NA,NA,9.90,90.00,0.40,252.50,NA,0.00,12.00,741.00,NA
2020-01-02 02:00:00,395.50,464.50,180.60,60.42,178.95,87.68,1.65,3.68,NA,NA,NA,NA,NA,NA,NA,9.38,91.00,0.35,125.25,NA,0.00,12.00,741.00,NA
2020-01-02 03:00:00,340.00,394.00,158.93,54.60,158.27,73.40,4.20,3.03,NA,NA,NA,NA,NA,NA,NA,9.20,91.25,0.32,81.50,NA,0.00,12.00,741.00,NA
2020-01-02 04:00:00,337.00,397.00,158.18,45.28,152.65,73.53,4.78,2.95,NA,NA,NA,NA,NA,NA,NA,8.65,93.00,0.35,20.25,NA,0.00,12.00,741.00,NA
2020-01-02 05:00:00,325.75,382.75,112.42,62.65,124.75,77.85,5.20,1.96,NA,NA,NA,NA,NA,NA,NA,9.57,84.75,0.72,195.00,NA,0.00,12.00,741.00,NA
2020-01-02 06:00:00,308.75,380.00,70.08,59.30,88.52,76.02,5.05,1.86,NA,NA,NA,NA,NA,NA,NA,8.98,85.75,0.42,136.00,NA,0.00,12.00,741.00,NA
2020-01-02 07:00:00,280.00,344.50,115.70,73.40,136.60,63.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,89.25,0.32,22.25,NA,0.00,21.50,741.00,NA
2020-01-02 08:00:00,327.00,424.25,157.20,114.78,188.88,87.38,13.15,3.44,NA,NA,NA,NA,NA,NA,NA,10.95,80.00,0.73,229.00,NA,0.00,66.75,741.25,NA
2020-01-02 09:00:00,435.00,594.00,95.55,164.02,164.92,103.42,31.70,3.25,2.30,NA,NA,NA,NA,NA,NA,13.55,69.75,1.48,110.50,NA,0.00,117.00,742.00,NA
2020-01-02 10:00:00,360.25,517.50,25.58,111.60,80.12,93.50,24.25,1.76,9.68,NA,NA,NA,NA,NA,NA,15.95,63.75,1.82,73.25,NA,0.00,159.00,742.00,NA
2020-01-02 11:00:00,245.00,362.00,12.80,75.08,50.35,73.03,25.98,1.07,24.42,NA,NA,NA,NA,NA,NA,18.58,54.25,1.82,79.75,NA,0.00,167.50,742.50,NA
2020-01-02 12:00:00,162.50,276.50,5.80,58.45,35.80,73.53,28.72,0.92,37.58,NA,NA,NA,NA,NA,NA,19.90,48.50,1.55,105.50,NA,0.00,158.25,742.00,NA
2020-01-02 13:00:00,132.00,222.75,4.40,44.78,27.40,70.08,32.42,0.61,42.78,NA,NA,NA,NA,NA,NA,20.72,44.75,1.45,116.75,NA,0.00,154.00,742.00,NA
2020-01-02 14:00:00,80.25,153.00,3.87,40.45,24.65,67.70,29.90,0.62,52.40,NA,NA,NA,NA,NA,NA,20.90,44.75,1.72,97.50,NA,0.00,128.00,742.00,NA
2020-01-02 15:00:00,78.25,142.00,3.88,53.78,31.75,76.18,50.65,0.62,42.07,NA,NA,NA,NA,NA,NA,20.82,46.50,1.38,94.50,NA,0.00,59.50,742.00,NA
2020-01-02 16:00:00,82.25,147.50,17.65,89.10,61.75,65.15,56.18,1.09,20.39,NA,NA,NA,NA,NA,NA,20.42,49.75,0.70,107.50,2.00,2.00,39.75,742.00,NA
2020-01-02 17:00:00,104.00,250.00,41.12,113.30,93.70,68.90,18.00,2.26,3.90,NA,NA,NA,NA,NA,NA,18.40,61.00,0.43,193.00,NA,0.00,18.50,741.75,NA
2020-01-02 18:00:00,140.00,461.50,284.23,117.65,293.68,75.38,11.98,6.02,5.52,NA,NA,NA,NA,NA,NA,15.38,77.00,0.30,219.00,NA,0.00,12.00,741.00,NA
2020-01-02 19:00:00,NA,553.75,NA,139.98,496.20,90.72,13.55,0.01,6.30,NA,NA,NA,NA,NA,NA,15.27,79.50,0.30,229.25,NA,0.00,12.25,741.00,NA
2020-01-02 20:00:00,NA,810.25,NA,173.18,NA,106.72,13.68,0.01,6.93,NA,NA,NA,NA,NA,NA,15.27,79.75,0.32,208.75,NA,0.00,12.25,741.00,NA
2020-01-02 21:00:00,NA,948.00,488.90,157.05,480.40,119.60,5.92,6.81,5.33,NA,NA,NA,NA,NA,NA,15.18,78.50,0.32,123.75,NA,0.00,12.00,741.00,NA
2020-01-02 22:00:00,NA,896.25,309.98,129.30,354.88,118.90,5.28,6.34,NA,NA,NA,NA,NA,NA,NA,15.40,75.25,0.42,238.75,NA,0.00,12.00,741.00,NA
2020-01-02 23:00:00,NA,718.00,207.82,102.02,223.22,114.45,5.05,3.71,NA,NA,NA,NA,NA,NA,NA,14.50,80.25,0.32,112.25,NA,0.00,12.00,741.00,NA
2020-01-03 00:00:00,NA,528.75,208.40,86.50,215.45,110.25,5.10,4.69,NA,NA,NA,NA,NA,NA,NA,13.68,83.00,0.48,111.00,NA,0.00,12.00,741.00,NA
2020-01-03 01:00:00,NA,465.25,137.98,75.65,152.43,99.98,4.45,2.89,NA,NA,NA,NA,NA,NA,NA,14.02,80.00,0.42,152.25,NA,0.00,12.00,741.00,NA
2020-01-03 02:00:00,NA,383.00,112.85,66.25,126.98,95.85,5.40,2.49,4.88,NA,NA,NA,NA,NA,NA,13.00,86.00,0.30,215.25,NA,0.00,12.00,741.00,NA
2020-01-03 03:00:00,NA,369.75,105.98,58.80,117.42,77.25,5.50,2.34,11.29,NA,NA,NA,NA,NA,NA,12.72,88.25,0.40,200.75,NA,0.00,12.00,741.00,NA
2020-01-03 04:00:00,NA,348.00,111.40,50.10,117.20,78.32,4.98,2.45,43.34,NA,NA,NA,NA,NA,NA,12.10,90.25,0.32,249.25,NA,0.00,12.00,741.00,NA
2020-01-03 05:00:00,NA,350.00,127.88,49.50,130.32,81.12,6.70,2.32,16.11,NA,NA,NA,NA,NA,NA,11.98,89.25,0.72,299.50,NA,0.00,12.00,741.00,NA
2020-01-03 06:00:00,NA,346.25,87.52,61.52,103.92,81.42,6.30,1.82,2.17,NA,NA,NA,NA,NA,NA,11.15,89.75,0.30,84.75,NA,0.00,12.00,741.00,NA
2020-01-03 07:00:00,NA,331.75,196.20,64.90,196.30,74.00,NA,NA,27.85,NA,NA,NA,NA,NA,NA,10.88,93.00,0.35,115.50,NA,0.00,19.50,741.00,NA
2020-01-03 08:00:00,NA,404.50,157.45,105.00,183.85,94.00,62.82,3.02,NA,NA,NA,NA,NA,NA,NA,13.38,79.75,0.62,78.25,NA,0.00,66.25,741.25,NA
2020-01-03 09:00:00,NA,469.75,57.78,121.93,111.80,91.92,61.30,2.24,3.44,NA,NA,NA,NA,NA,NA,16.88,63.25,0.85,109.75,NA,0.00,127.00,742.00,NA
2020-01-03 10:00:00,NA,355.50,35.65,91.78,77.78,75.65,82.38,0.78,6.85,NA,NA,NA,NA,NA,NA,18.55,54.75,2.35,87.50,NA,0.00,170.00,742.00,NA
2020-01-03 11:00:00,NA,178.00,7.62,41.28,28.12,52.42,42.10,0.34,20.38,NA,NA,NA,NA,NA,NA,19.65,51.75,2.10,118.75,NA,0.00,177.50,742.00,NA
2020-01-03 12:00:00,NA,127.75,3.28,31.80,19.58,56.30,23.15,0.58,29.42,NA,NA,NA,NA,NA,NA,20.45,50.50,1.70,129.75,NA,0.00,188.50,742.00,NA
