Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,313.0,520.375,106.86,102.71,141.525,75.55,10.335,3.1950000000000003,4.42,4.78,19.8,2.82,,2.15,7.92,8.629999999999999,81.125,0.635,153.0,0.0,0.0,19.5,741.5,
2020-01-01 01:00:00,287.375,478.625,98.725,88.05,127.035,71.06,9.315,2.8449999999999998,4.3549999999999995,3.95,15.88,1.95,,1.52,5.52,8.29,82.375,0.575,175.25,0.0,0.0,19.5,741.5,
2020-01-01 02:00:00,275.125,465.75,105.06,92.6,134.66,69.35,7.965,2.495,4.235,3.53,13.0,1.42,,1.82,4.18,7.525,85.375,0.73,175.25,0.0,0.0,19.5,741.875,
2020-01-01 03:00:00,257.125,438.875,49.885000000000005,84.96000000000001,85.76,66.64,4.39,1.94,4.300000000000001,3.15,11.2,1.02,,0.9,3.3,7.199999999999999,87.0,0.84,173.375,0.0,0.0,19.5,742.0,
2020-01-01 04:00:00,246.125,420.75,9.6,50.72,17.4,73.75,4.45,1.105,4.3999999999999995,2.7,9.3,0.7,,0.62,2.38,6.6,89.375,1.3,198.75,0.0,0.0,19.5,742.0,
2020-01-01 05:00:00,243.25,435.5,4.8,57.05,33.315,63.06,5.175,1.54,4.699999999999999,2.55,8.3,0.45,,0.57,1.78,6.35,89.625,0.96,211.25,0.0,0.0,19.5,742.0,
2020-01-01 06:00:00,263.25,454.5,3.45,48.25,14.225,69.57,4.47,0.87,4.41,2.58,7.38,0.3,,0.45,1.32,6.04,89.125,1.21,209.75,0.0,0.0,19.5,741.5,
2020-01-01 07:00:00,233.75,405.0,18.9,54.3,45.71,58.415,102.435,0.635,5.12,2.35,6.75,0.25,,0.38,1.12,6.135,90.125,1.225,216.875,0.0,0.0,31.375,741.5,
2020-01-01 08:00:00,251.125,399.625,9.86,69.96,45.22,63.375,10.45,1.8199999999999998,6.31,2.4,6.82,0.3,,0.57,1.33,7.1850000000000005,88.125,1.15,219.625,0.0,0.0,85.625,741.5,
2020-01-01 09:00:00,288.5,456.0,7.640000000000001,68.75,42.79,76.25999999999999,13.865,1.7000000000000002,10.55,2.5,7.05,0.3,,0.48,1.62,10.415,79.75,1.19,225.25,0.0,0.0,161.0,741.5,
2020-01-01 10:00:00,242.25,396.0,3.285,57.5,33.26,64.01,13.375,0.88,13.25,2.2,6.75,0.3,,0.55,1.23,14.125,68.625,1.45,236.5,0.0,0.0,216.25,741.5,
2020-01-01 11:00:00,131.25,244.25,1.35,37.14,20.875,55.894999999999996,11.635000000000002,0.655,25.445,1.5,5.62,0.2,,0.35,0.8,16.770000000000003,52.625,1.61,255.625,0.0,0.0,239.5,741.5,
2020-01-01 12:00:00,72.5,164.75,8.6,30.875,22.585,50.95,18.1,0.655,34.06,0.82,3.92,0.1,,0.22,0.42,17.95,46.875,1.685,278.5,0.0,0.0,213.125,741.5,
2020-01-01 13:00:00,55.0,132.875,0.75,25.470000000000002,14.175,46.974999999999994,18.12,0.62,40.15,0.52,2.7,0.08,,0.1,0.28,18.625,45.625,1.625,281.125,0.0,0.0,142.75,741.5,
2020-01-01 14:00:00,49.5,124.0,0.48,15.3,8.57,53.65,10.68,0.66,44.12,0.5,1.7,0.0,,0.08,0.2,19.88,45.25,0.5,266.5,0.0,0.0,167.0,743.0,
2020-01-01 15:00:00,47.75,123.0,0.62,15.95,8.95,50.28,11.02,0.86,45.7,0.5,2.05,0.08,,0.1,0.28,19.88,45.75,0.48,269.25,0.0,0.0,116.5,743.0,
2020-01-01 16:00:00,47.75,125.25,0.5,23.12,12.73,47.32,9.5,0.98,40.0,0.52,1.25,0.1,,0.1,0.22,19.17,50.0,0.32,269.25,0.0,0.0,55.5,743.0,
2020-01-01 17:00:00,59.25,152.5,0.57,45.58,24.72,50.28,6.68,1.0,23.1,0.8,2.98,0.38,,0.55,1.18,17.72,56.75,0.3,151.75,0.0,0.0,23.25,743.0,
2020-01-01 18:00:00,107.5,280.5,28.68,67.75,59.35,62.32,6.88,1.85,5.32,1.5,9.38,1.68,,2.45,4.12,16.33,61.75,0.3,132.25,0.0,0.0,17.0,743.0,
2020-01-01 19:00:00,172.25,351.0,164.4,106.28,190.15,63.62,11.85,4.7,0.8,3.65,23.82,5.07,,5.03,11.15,15.87,62.75,0.38,137.0,0.0,0.0,17.0,743.0,
2020-01-01 20:00:00,229.5,517.5,120.22,125.4,164.42,92.82,17.45,5.66,0.75,6.45,36.0,10.52,,8.18,21.42,14.55,71.5,0.5,151.5,0.0,0.0,17.0,743.0,
2020-01-01 21:00:00,332.25,638.5,21.15,93.8,67.05,77.07,9.32,2.11,0.35,5.65,30.52,8.48,,4.45,16.2,13.58,70.25,0.48,165.0,0.0,0.0,17.0,743.0,
2020-01-01 22:00:00,203.75,376.25,5.88,78.9,46.75,74.75,6.72,1.38,0.85,3.32,16.35,3.95,,3.08,7.72,13.5,66.75,0.45,159.75,0.0,0.0,17.0,743.0,
2020-01-01 23:00:00,168.75,311.5,4.4,66.85,39.12,68.65,5.45,1.24,1.12,2.68,12.08,2.12,,1.95,4.72,13.3,67.25,0.43,152.25,0.0,0.0,17.0,743.0,
2020-01-02 00:00:00,162.5,302.0,4.38,65.58,38.4,73.75,7.1,2.02,0.73,2.35,9.68,1.3,,1.35,3.52,12.52,71.0,0.48,153.0,0.0,0.0,17.0,743.0,
2020-01-02 01:00:00,200.75,363.0,2.3,66.03,36.97,73.9,8.0,2.12,0.75,2.32,9.28,0.92,,1.12,2.75,11.85,74.25,0.5,154.75,0.0,0.0,17.0,743.0,
