Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,,,6.45,38.52,25.72,36.8,7.65,3.24,16.5,1.02,3.68,,,,,6.38,69.0,0.3,6.0,,0.0,7.0,741.0,
2020-01-01 01:00:00,,,7.12,35.33,24.58,36.3,6.6,2.91,17.09,0.8,2.65,,,,,5.45,72.0,0.3,6.0,,0.0,7.0,741.0,
2020-01-01 02:00:00,,,6.85,28.08,20.52,35.72,6.6,2.62,18.04,0.7,2.17,,,,,4.93,73.25,0.3,6.0,,0.0,7.0,741.0,
2020-01-01 03:00:00,,,6.93,30.58,21.92,33.2,6.58,2.45,17.62,0.65,1.75,,,,,4.72,73.75,0.3,6.0,,0.0,7.0,741.0,
2020-01-01 04:00:00,,,6.85,29.1,21.08,29.28,4.58,2.2,16.35,0.57,1.4,,,,,4.5,75.0,0.3,6.0,,0.0,7.0,741.0,
2020-01-01 05:00:00,,,6.55,28.15,20.28,28.85,6.02,2.03,16.97,0.52,1.35,,,,,4.53,76.0,0.3,6.0,,0.0,7.0,741.0,
2020-01-01 06:00:00,,,6.75,25.92,19.27,28.35,5.28,1.88,16.87,0.5,1.3,,,,,4.43,77.0,0.3,7.0,,0.0,7.0,741.0,
2020-01-01 07:00:00,,,,34.9,6.2,36.6,199.5,,17.16,0.5,1.2,,,,,4.62,76.75,0.3,130.5,,0.0,12.0,741.5,
2020-01-01 08:00:00,,,6.45,28.65,20.5,35.53,7.88,2.25,16.97,0.5,1.12,,,,,6.75,72.25,0.3,167.75,,0.0,53.0,742.0,
2020-01-01 09:00:00,,,6.32,27.92,20.0,30.7,13.5,2.03,15.74,0.45,1.17,,,,,11.08,65.25,0.3,112.25,,0.0,111.5,742.0,
2020-01-01 10:00:00,,,9.3,27.55,22.2,30.52,20.42,1.74,12.6,0.4,1.23,,,,,15.98,56.0,0.3,164.5,,0.0,147.25,742.0,
2020-01-01 11:00:00,,,5.75,20.2,15.45,25.2,40.92,1.45,5.67,0.3,0.88,,,,,19.52,47.0,0.3,130.5,,0.0,121.75,742.0,
2020-01-01 12:00:00,,,6.65,8.45,9.9,24.82,12.55,1.1,,0.18,0.32,,,,,21.65,43.75,0.3,64.5,,0.0,111.25,742.0,
2020-01-01 13:00:00,,,6.62,3.92,7.45,23.32,15.18,0.98,17.62,0.12,0.28,,,,,22.72,41.5,0.32,58.25,,0.0,100.75,742.0,
2020-01-01 14:00:00,,,6.32,4.32,7.43,22.42,13.08,0.98,,0.1,0.22,,,,,22.78,41.0,0.32,41.0,,0.0,100.75,742.0,
2020-01-01 15:00:00,,,6.6,4.7,7.85,21.08,12.82,0.93,,0.12,0.3,,,,,22.8,40.75,0.3,42.5,,0.0,71.0,742.0,
2020-01-01 16:00:00,,,6.58,8.45,9.82,21.4,12.98,1.17,,0.1,0.22,,,,,21.52,42.5,0.3,37.0,,0.0,25.75,741.0,
2020-01-01 17:00:00,,,9.88,34.9,26.58,27.28,13.28,2.04,6.55,0.2,0.52,,,,,19.05,47.5,0.3,37.0,,0.0,7.25,741.5,
2020-01-01 18:00:00,,,7.65,66.7,41.68,33.92,14.95,4.76,11.21,0.5,3.12,,,,,16.62,54.0,0.3,37.0,,0.0,7.0,742.0,
2020-01-01 19:00:00,,,7.42,72.97,44.85,39.47,15.48,4.38,10.74,1.05,7.45,,,,,15.92,55.25,0.3,37.0,,0.0,7.0,742.0,
2020-01-01 20:00:00,,,7.1,61.02,38.22,36.02,14.85,4.21,12.03,1.08,6.2,,,,,14.72,57.25,0.3,37.0,,0.0,7.0,742.0,
2020-01-01 21:00:00,,,5.25,60.18,36.25,42.98,14.62,6.81,9.82,1.02,5.9,,,,,12.8,62.5,0.3,37.0,,0.0,7.0,742.0,
2020-01-01 22:00:00,,,5.82,50.03,31.38,40.58,14.12,5.04,12.78,1.25,6.78,,,,,12.8,62.25,0.3,37.0,,0.0,7.0,742.0,
2020-01-01 23:00:00,,,6.85,41.82,27.8,38.02,11.38,4.11,14.66,1.1,6.75,,,,,11.7,64.5,0.3,37.0,,0.0,7.0,742.0,
2020-01-02 00:00:00,,,5.82,35.2,23.48,35.98,11.68,3.32,15.98,0.95,5.9,,,,,10.8,66.5,0.3,37.0,,0.0,7.0,742.0,
2020-01-02 01:00:00,,,7.12,31.42,22.48,37.15,11.82,2.77,17.12,0.88,5.38,,,,,10.5,67.75,0.3,37.0,,0.0,7.0,742.0,
2020-01-02 02:00:00,,,7.22,30.2,21.92,32.17,8.25,2.27,16.35,0.7,4.1,,,,,9.7,69.0,0.3,37.0,,0.0,7.0,741.75,
2020-01-02 03:00:00,,,6.18,28.3,20.1,29.02,8.02,1.84,16.34,0.5,2.8,,,,,9.12,70.5,0.3,37.0,,0.0,7.0,741.0,
2020-01-02 04:00:00,,,6.98,24.38,18.65,40.88,9.8,1.63,16.44,0.4,1.55,,,,,9.15,71.0,0.3,24.25,,0.0,7.0,741.0,
