Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,564.54,741.87,108.3,20.05,128.39,,,5.55,12.58,,,,,,,,,,,,0.0,,,
2020-01-01 01:00:00,526.01,674.905,33.695,44.385,61.870000000000005,62.7,18.2,4.745,5.305000000000001,,,,,,,8.0,88.0,0.4,22.0,0.0,0.0,19.0,752.0,
2020-01-01 02:00:00,467.27,625.865,34.54,21.87,45.595,33.12,15.0,2.68,4.955,,,,,,,7.28,89.25,0.3,23.5,0.0,0.0,19.0,752.0,
2020-01-01 03:00:00,439.025,544.075,27.439999999999998,28.175,44.795,52.78,16.12,5.275,9.53,,,,,,,5.92,93.75,0.3,45.75,0.0,0.0,19.0,752.0,
2020-01-01 04:00:00,440.06,541.1,28.1,24.155,43.69,55.65,17.05,5.205,11.45,,,,,,,5.58,95.0,0.3,47.75,0.0,0.0,20.0,752.0,
2020-01-01 05:00:00,481.40999999999997,579.39,28.615000000000002,25.755,44.905,54.45,20.08,5.275,10.05,,,,,,,5.43,96.0,0.3,16.0,0.0,0.0,21.0,752.0,
2020-01-01 06:00:00,477.125,604.9,37.75,21.36,51.33,52.4,17.55,5.27,10.69,,,,,,,5.08,95.75,0.3,25.0,0.0,0.0,21.25,752.5,
2020-01-01 07:00:00,434.65,557.475,28.605,22.685000000000002,43.325,45.58,15.02,4.885,8.74,,,,,,,4.82,96.0,0.3,18.5,0.0,0.0,29.0,753.25,
2020-01-01 08:00:00,426.905,556.4100000000001,23.305,35.04,44.595,50.75,19.32,4.775,8.55,,,,,,,6.62,95.75,0.3,45.75,0.0,0.0,51.0,754.25,
2020-01-01 09:00:00,473.44,614.28,15.67,65.1,58.305,49.75,10.65,3.11,6.75,,,,,,,10.45,79.5,0.62,33.0,0.0,0.0,77.25,755.5,
2020-01-01 10:00:00,380.985,511.47,11.4,35.415,38.47,45.8,21.9,2.3049999999999997,8.969999999999999,,,,,,,13.45,63.75,1.32,44.5,0.0,0.0,169.0,756.0,
2020-01-01 11:00:00,258.85,371.07,7.37,20.02,21.07,42.42,21.8,1.83,23.89,,,,,,,15.15,62.0,1.62,41.25,0.0,0.0,205.5,755.75,
2020-01-01 12:00:00,182.45499999999998,251.6,6.279999999999999,16.305,17.365,40.92,22.32,1.7,40.67,,,,,,,16.65,61.0,1.5,33.5,0.0,0.0,225.5,754.75,
2020-01-01 13:00:00,145.95499999999998,214.26,5.41,13.825,14.785,38.5,23.9,1.6300000000000001,48.17,,,,,,,17.7,58.5,1.6,36.5,0.0,0.0,217.75,753.75,
2020-01-01 14:00:00,116.735,221.6,4.785,13.805,14.2,37.88,30.17,1.5799999999999998,50.97,,,,,,,17.95,59.0,1.85,38.0,0.0,0.0,157.75,753.0,
2020-01-01 15:00:00,113.58,197.465,4.59,12.754999999999999,12.96,36.15,30.08,1.475,57.44,,,,,,,18.08,57.75,1.42,37.0,0.0,0.0,101.25,753.0,
2020-01-01 16:00:00,86.495,151.825,4.16,15.83,14.665000000000001,34.52,22.62,1.505,49.15,,,,,,,17.5,59.5,0.85,36.0,0.0,0.0,61.0,753.0,
2020-01-01 17:00:00,105.91,191.725,4.02,27.74,22.05,34.7,19.02,1.8849999999999998,15.49,,,,,,,16.12,63.75,0.35,29.75,0.0,0.0,30.25,753.0,
2020-01-01 18:00:00,130.965,233.53,9.94,42.725,38.15,34.98,14.22,3.035,6.56,,,,,,,13.22,73.75,0.3,24.0,0.0,0.0,25.0,753.5,
