Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,233.81,,,,0.0,,12.69,1.63,31.17,2.02,4.05,,2.99,2.99,3.01,,63.16,0.38,87.24,0.0,0.0,,990.68,
2020-01-01 01:00:00,212.29,,,,0.0,,18.69,1.44,30.51,1.96,3.99,,2.99,2.97,2.95,,63.14,0.58,129.23,0.0,0.0,,990.65,
2020-01-01 02:00:00,200.49,,,,0.0,,19.96,1.39,30.23,2.02,4.0,,3.02,2.95,2.97,,63.15,0.54,73.34,0.0,0.0,,990.68,
2020-01-01 03:00:00,176.5,,,,0.0,,19.56,1.31,29.84,1.96,4.01,,3.04,2.97,3.02,,63.15,0.57,77.91,0.0,0.0,,990.72,
2020-01-01 04:00:00,169.19,,,,0.0,,18.83,1.25,29.82,1.99,3.94,,2.98,2.96,2.94,,63.17,0.58,89.2,0.0,0.0,,990.82,
2020-01-01 05:00:00,175.0,,,,0.0,,25.85,1.28,29.7,2.0,4.05,,3.0,3.04,2.97,,63.17,0.56,96.45,0.0,0.0,,991.0,
2020-01-01 06:00:00,174.28,,,,0.0,,26.49,1.28,29.94,1.98,3.95,,3.02,2.98,2.99,,63.15,0.5,107.54,0.0,0.0,,991.65,
2020-01-01 07:00:00,175.9,,,,0.0,,25.69,1.41,31.01,2.01,3.98,,3.03,3.01,3.06,,63.15,0.6,102.26,0.0,0.0,,992.28,
2020-01-01 08:00:00,184.88,,,,0.0,,25.04,1.73,33.03,2.02,3.96,,2.96,2.96,3.04,,63.12,0.52,126.74,0.05,0.2,,992.53,
2020-01-01 09:00:00,211.28,,,,0.0,,23.0,1.76,33.33,2.04,4.07,,3.03,2.96,2.99,,62.08,0.94,168.88,0.0,0.0,,992.42,
2020-01-01 10:00:00,232.82,,,,0.0,,16.52,1.49,33.0,2.03,4.01,,2.95,3.02,3.04,,58.85,1.31,183.08,0.0,0.0,,992.22,
2020-01-01 11:00:00,213.68,,,,0.0,,11.67,1.18,37.86,2.04,3.98,,3.0,3.0,2.97,,55.99,1.35,180.05,0.0,0.0,,991.6,
2020-01-01 12:00:00,177.98,,,,0.0,,23.85,0.99,45.41,2.02,4.01,,3.0,2.97,3.02,,55.48,1.31,179.18,0.0,0.0,,990.78,
2020-01-01 13:00:00,153.69,,,,0.0,,17.91,0.75,55.74,1.94,4.0,,3.0,2.99,2.96,,55.53,1.27,170.78,0.0,0.0,307.69,989.82,
2020-01-01 14:00:00,133.43,,,,0.0,,16.72,0.6,73.48,2.01,4.04,,3.03,3.03,2.97,,55.75,1.16,170.92,0.0,0.0,267.79,989.12,
