Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,409.66,544.08,230.59,177.46,0.00,294.06,2.79,5.14,0.43,33.97,267.14,15.13,NA,9.14,26.18,7.57,99.13,0.43,224.62,0.00,0.00,2.83,NA,NA
2021-01-01 01:00:00,410.95,499.90,233.76,179.03,0.00,296.21,2.82,5.09,0.18,33.83,275.02,14.99,NA,9.63,26.78,6.80,99.13,0.40,267.90,0.00,0.00,2.50,NA,NA
2021-01-01 02:00:00,371.56,436.28,224.86,172.09,0.00,284.57,2.89,4.73,0.10,32.39,277.25,14.30,NA,9.32,25.77,6.02,99.13,0.59,290.62,0.00,0.00,2.82,NA,NA
2021-01-01 03:00:00,310.15,341.67,201.05,155.00,0.00,258.34,2.58,4.22,0.10,29.64,268.03,12.98,NA,8.48,23.58,5.65,99.13,0.59,282.68,0.00,0.00,2.92,NA,NA
2021-01-01 04:00:00,254.05,294.48,176.68,137.36,0.01,233.63,1.88,3.69,NA,27.00,258.41,11.89,NA,7.70,21.73,5.24,99.13,0.14,221.35,0.00,0.00,3.10,NA,NA
2021-01-01 05:00:00,216.02,269.23,145.33,115.00,0.04,206.92,1.53,3.16,0.08,23.95,250.48,10.62,NA,6.86,19.46,5.51,99.13,0.47,162.64,0.00,0.00,3.85,NA,NA
2021-01-01 06:00:00,208.81,230.90,124.40,99.76,1.54,189.14,1.57,2.78,0.20,21.48,252.84,9.65,NA,6.26,17.68,4.98,99.13,0.50,247.44,0.00,0.00,2.88,NA,NA
2021-01-01 07:00:00,234.97,290.75,126.68,100.82,0.80,188.34,1.47,2.67,0.56,20.48,254.83,9.00,NA,5.82,16.47,4.88,99.13,0.47,178.24,0.00,0.00,14.76,NA,NA
2021-01-01 08:00:00,321.74,406.83,139.50,111.82,1.45,199.72,2.22,3.05,1.33,22.47,255.60,8.73,NA,5.64,15.96,6.58,99.13,0.42,247.32,0.00,0.00,88.19,NA,NA
2021-01-01 09:00:00,521.36,661.25,130.28,111.70,15.35,211.74,2.21,3.43,0.61,26.97,242.64,9.06,NA,6.11,16.95,9.85,91.75,0.38,164.61,0.00,0.00,103.47,NA,NA
