Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,166.83,322.34,20.38,29.76,39.22,35.88,1.75,2.22,0.11,9.61,NA,NA,NA,NA,2.92,NA,93.83,0.17,165.01,0.00,0.00,NA,NA,NA
2022-01-01 01:00:00,163.57,307.75,20.31,30.83,40.85,33.88,1.73,2.11,0.08,9.40,NA,NA,NA,NA,2.66,NA,95.38,0.19,218.47,0.00,0.00,NA,NA,NA
2022-01-01 02:00:00,157.53,286.02,20.14,30.07,39.28,35.10,1.22,1.74,0.02,7.96,NA,NA,NA,NA,2.34,NA,98.22,0.17,168.96,0.00,0.00,NA,NA,NA
2022-01-01 03:00:00,146.57,259.46,19.77,31.10,39.71,34.01,0.86,1.63,0.13,6.14,NA,NA,NA,NA,2.02,NA,99.10,0.17,160.50,0.00,0.00,NA,NA,NA
2022-01-01 04:00:00,139.87,247.95,19.97,28.64,40.93,34.56,1.66,1.57,0.66,6.09,NA,NA,NA,NA,1.52,NA,99.13,0.13,147.41,0.00,0.00,NA,NA,NA
2022-01-01 05:00:00,138.38,235.40,19.93,29.90,39.04,34.55,1.96,1.69,0.24,5.92,NA,NA,NA,NA,1.51,NA,98.71,0.24,166.22,0.00,0.00,NA,NA,NA
2022-01-01 06:00:00,134.45,224.03,20.08,29.68,39.24,35.38,2.19,1.85,0.01,6.75,NA,NA,NA,NA,1.72,NA,98.88,0.19,167.82,0.00,0.00,NA,NA,NA
2022-01-01 07:00:00,135.43,235.63,20.00,30.09,39.77,35.10,2.29,2.02,0.21,8.92,NA,NA,NA,NA,1.98,NA,99.13,0.20,169.75,0.00,0.00,12.48,NA,NA
2022-01-01 08:00:00,149.47,260.87,19.80,30.14,40.05,35.22,1.78,1.82,1.20,10.37,NA,NA,NA,NA,2.12,NA,88.34,0.23,226.58,0.00,0.00,97.99,NA,NA
2022-01-01 09:00:00,154.42,276.38,19.87,29.64,40.30,34.13,3.52,1.84,5.55,8.20,NA,NA,NA,NA,2.14,NA,70.12,0.20,284.87,0.00,0.00,232.82,NA,NA
2022-01-01 10:00:00,157.93,288.43,19.85,30.19,40.97,33.36,5.38,1.60,12.70,6.38,NA,NA,NA,NA,1.24,NA,59.57,0.18,228.83,0.00,0.00,343.35,NA,NA
2022-01-01 11:00:00,161.31,286.14,20.05,29.59,41.08,35.30,6.41,1.34,22.51,4.99,NA,NA,NA,NA,1.06,NA,53.60,0.38,271.30,0.00,0.00,407.72,NA,NA
2022-01-01 12:00:00,158.05,267.08,20.14,28.84,40.70,34.94,6.88,1.20,25.30,3.42,NA,NA,NA,NA,0.78,NA,46.08,0.30,288.88,0.00,0.00,458.00,NA,NA
2022-01-01 13:00:00,143.86,243.33,19.86,30.24,38.77,34.79,10.55,1.23,27.01,3.19,NA,NA,NA,NA,0.70,NA,44.55,0.70,17.88,0.00,0.00,398.04,NA,NA
2022-01-01 14:00:00,127.88,227.87,19.84,29.98,39.62,34.33,14.53,1.13,25.41,3.24,NA,NA,NA,NA,0.78,NA,37.84,0.60,34.77,0.00,0.00,324.74,NA,NA
2022-01-01 15:00:00,121.97,216.78,19.99,29.14,39.77,36.34,10.11,1.38,25.22,3.15,NA,NA,NA,NA,0.78,NA,44.01,0.32,32.58,0.00,0.00,177.68,NA,NA
2022-01-01 16:00:00,126.28,224.26,19.98,29.68,40.11,35.62,6.38,1.91,19.04,4.50,NA,NA,NA,NA,1.05,NA,51.20,0.12,235.33,0.00,0.00,44.74,NA,NA
2022-01-01 17:00:00,133.86,257.54,20.41,29.00,40.76,33.95,6.02,3.14,3.06,8.54,NA,NA,NA,NA,2.53,NA,65.44,0.15,215.22,0.00,0.00,4.96,NA,NA
2022-01-01 18:00:00,157.65,413.48,20.02,29.52,40.16,34.59,5.82,4.27,0.06,19.07,NA,NA,NA,NA,12.82,NA,77.38,0.24,194.78,0.00,0.00,NA,NA,NA
2022-01-01 19:00:00,190.60,501.22,19.94,30.20,39.52,35.50,4.49,2.82,NA,18.75,NA,NA,NA,NA,16.11,NA,85.09,0.16,173.68,0.00,0.00,NA,NA,NA
2022-01-01 20:00:00,217.88,460.32,19.56,29.28,38.63,35.20,3.12,3.05,0.02,15.87,NA,NA,NA,NA,9.20,NA,92.61,0.20,207.90,0.00,0.00,NA,NA,NA
2022-01-01 21:00:00,234.92,475.76,19.57,30.17,40.45,35.11,3.03,2.81,0.04,15.63,NA,NA,NA,NA,5.12,NA,95.13,0.15,125.30,0.00,0.00,NA,NA,NA
2022-01-01 22:00:00,235.30,480.36,19.74,29.72,39.42,35.58,2.66,2.74,NA,13.82,NA,NA,NA,NA,4.02,NA,98.71,0.16,198.81,0.00,0.00,NA,NA,NA
2022-01-01 23:00:00,234.07,461.93,20.24,30.58,39.56,34.88,2.61,2.74,NA,13.19,NA,NA,NA,NA,4.04,NA,99.13,0.08,190.34,0.00,0.00,NA,NA,NA
2022-01-02 00:00:00,236.36,442.31,20.13,28.60,39.26,34.52,1.95,2.66,NA,13.41,NA,NA,NA,NA,3.91,NA,99.13,0.20,178.09,0.00,0.00,NA,NA,NA
