Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,183.8,204.58,3.37,7.13,17.49,18.52,13.69,0.6,20.1,14.14,7.91,0.68,,0.96,2.06,,98.99,0.74,271.08,0.0,0.0,,,
2022-01-01 01:00:00,183.9,210.32,3.51,8.82,17.94,20.56,7.78,0.32,19.08,11.4,6.82,0.58,,0.87,1.84,,99.57,0.68,269.57,0.0,0.0,,,
2022-01-01 02:00:00,178.35,202.8,3.76,8.01,16.36,19.18,10.92,0.4,16.16,10.83,6.67,0.57,,0.82,1.78,,99.99,0.7,262.45,0.0,0.0,,,
2022-01-01 03:00:00,176.72,195.5,3.79,7.86,19.43,17.96,6.57,0.42,10.12,12.26,6.88,0.65,,0.83,1.76,,99.99,0.43,269.37,0.0,0.0,,,
2022-01-01 04:00:00,173.9,192.27,4.2,6.63,18.13,16.31,4.81,0.39,9.5,10.6,6.82,0.6,,0.82,1.84,,99.99,0.61,258.76,0.0,0.0,,,
2022-01-01 05:00:00,165.55,191.62,4.03,7.65,17.8,17.32,4.58,0.31,7.57,10.68,7.65,0.78,,0.87,2.5,,99.99,0.44,300.6,0.0,0.0,,,
2022-01-01 06:00:00,167.75,197.02,3.26,5.78,15.89,19.9,6.17,0.34,4.06,11.01,8.55,0.96,,1.1,3.01,,99.99,0.62,243.8,0.0,0.0,,,
2022-01-01 07:00:00,198.15,215.62,3.48,8.28,17.97,19.69,22.38,0.54,1.35,18.26,11.51,1.69,,1.79,4.16,,99.99,0.85,263.42,0.0,0.0,6.45,,
2022-01-01 08:00:00,206.88,227.25,3.73,8.32,18.91,16.82,14.72,0.6,3.84,16.48,12.07,1.74,,1.7,4.38,,99.99,0.65,254.84,0.0,0.0,52.7,,
2022-01-01 09:00:00,229.82,258.02,3.53,8.16,17.47,21.23,18.81,0.55,15.48,18.84,13.09,1.83,,1.81,4.83,,99.99,0.82,257.05,0.0,0.0,117.63,,
2022-01-01 10:00:00,237.6,268.1,3.48,6.65,15.16,19.14,15.39,0.63,26.08,15.78,12.66,1.72,,1.7,4.55,,99.98,0.71,309.72,0.0,0.0,246.34,,
2022-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-01 12:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-01 13:00:00,238.0,287.4,3.15,5.73,10.15,12.2,,,59.24,,,,,,,,,0.97,274.76,0.0,0.0,,,
2022-01-01 14:00:00,,,4.07,6.62,16.13,18.61,,2.52,51.21,4.89,5.48,0.41,,0.57,1.02,,,0.64,305.83,0.0,0.0,,,
2022-01-01 15:00:00,134.6,213.2,3.56,8.67,17.96,19.44,,0.02,47.06,4.94,5.44,0.4,,0.66,1.14,,,0.71,318.14,0.0,0.0,,,
