Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,194.75,293.75,14.42,67.58,47.68,44.95,19.10,7.88,4.45,NA,NA,NA,NA,NA,NA,12.92,72.50,0.45,264.50,0.00,0.00,21.00,740.00,NA
2022-01-01 01:00:00,200.00,294.25,11.08,61.28,41.62,44.12,18.12,0.01,4.30,NA,NA,NA,NA,NA,NA,12.30,76.50,0.48,264.50,0.00,0.00,21.00,740.00,NA
2022-01-01 02:00:00,207.25,304.00,5.40,54.70,33.50,40.80,16.50,NA,5.00,NA,NA,NA,NA,NA,NA,11.92,80.25,0.52,274.50,0.00,0.00,21.00,740.00,NA
2022-01-01 03:00:00,199.25,294.50,7.55,55.88,35.88,42.88,16.95,NA,3.75,NA,NA,NA,NA,NA,NA,11.50,83.25,0.52,268.75,0.00,0.00,21.00,740.00,NA
2022-01-01 04:00:00,188.75,286.75,7.18,53.62,34.38,42.05,15.82,NA,3.95,NA,NA,NA,NA,NA,NA,11.02,84.25,0.60,268.25,0.00,0.00,21.00,740.00,NA
2022-01-01 05:00:00,180.00,265.25,6.82,52.05,33.22,40.65,17.62,NA,4.15,NA,NA,NA,NA,NA,NA,10.50,85.50,0.55,271.00,0.00,0.00,21.00,740.00,NA
2022-01-01 06:00:00,180.75,265.25,8.00,53.62,35.08,41.72,18.10,NA,3.98,NA,NA,NA,NA,NA,NA,10.00,87.75,0.50,270.75,0.00,0.00,21.00,740.00,NA
2022-01-01 07:00:00,204.25,304.00,11.62,56.98,39.75,44.10,18.08,NA,3.88,NA,NA,NA,NA,NA,NA,10.20,88.00,0.43,267.50,0.00,0.00,29.00,740.00,NA
2022-01-01 08:00:00,258.67,366.00,15.98,62.85,46.40,51.72,20.23,NA,4.05,NA,NA,NA,NA,NA,NA,10.82,85.75,0.50,279.25,0.00,0.00,65.75,740.00,NA
2022-01-01 09:00:00,325.00,441.75,15.90,71.30,50.85,58.62,22.50,NA,4.12,NA,NA,NA,NA,NA,NA,12.95,79.75,0.50,276.50,0.00,0.00,117.25,740.00,NA
2022-01-01 10:00:00,354.67,482.00,14.22,78.50,53.30,61.02,23.05,NA,4.15,NA,NA,NA,NA,NA,NA,16.15,69.75,0.43,268.50,0.00,0.00,160.75,740.00,NA
2022-01-01 11:00:00,315.50,436.25,9.38,66.82,43.18,64.53,22.65,NA,31.18,NA,NA,NA,NA,NA,NA,18.92,56.75,0.45,267.00,0.00,0.00,183.00,740.00,NA
2022-01-01 12:00:00,229.25,329.50,6.52,55.20,34.70,69.55,24.00,NA,61.45,NA,NA,NA,NA,NA,NA,20.98,40.75,0.52,271.50,0.00,0.00,169.25,740.00,NA
2022-01-01 13:00:00,139.25,207.25,6.55,47.47,30.60,61.02,25.28,NA,63.67,NA,NA,NA,NA,NA,NA,22.38,30.75,0.45,256.25,0.00,0.00,165.50,740.00,NA
2022-01-01 14:00:00,90.00,135.00,6.38,53.78,33.80,56.47,27.42,NA,16.73,NA,NA,NA,NA,NA,NA,23.17,28.50,0.43,236.25,0.00,0.00,140.00,740.00,NA
2022-01-01 15:00:00,83.00,138.00,6.60,51.25,32.62,51.72,27.65,NA,10.07,NA,NA,NA,NA,NA,NA,23.10,28.25,0.35,246.00,0.00,0.00,93.00,740.00,NA
2022-01-01 16:00:00,80.75,134.75,7.22,72.88,44.65,45.98,25.25,NA,6.40,NA,NA,NA,NA,NA,NA,22.17,31.75,0.40,264.25,0.00,0.00,48.75,740.00,NA
2022-01-01 17:00:00,96.50,172.00,9.30,94.52,57.82,48.82,21.72,NA,28.40,NA,NA,NA,NA,NA,NA,19.90,41.25,0.43,282.25,0.00,0.00,23.75,740.00,NA
2022-01-01 18:00:00,157.25,255.75,11.65,89.52,57.08,59.80,21.35,NA,29.95,NA,NA,NA,NA,NA,NA,18.50,46.25,0.50,276.00,0.00,0.00,21.00,740.00,NA
2022-01-01 19:00:00,225.50,338.50,12.95,94.52,60.80,63.18,22.92,NA,18.75,NA,NA,NA,NA,NA,NA,16.90,53.75,0.48,276.25,0.00,0.00,21.00,740.00,NA
2022-01-01 20:00:00,248.00,373.00,1.20,73.25,32.60,54.55,NA,0.00,17.40,NA,NA,NA,NA,NA,NA,15.95,54.50,0.40,296.50,0.00,0.00,21.00,740.00,NA
2022-01-01 21:00:00,NA,301.00,16.15,78.00,54.62,52.50,20.92,0.00,14.65,NA,NA,NA,NA,NA,NA,15.28,57.00,0.35,301.00,0.00,0.00,21.00,740.00,NA
2022-01-01 22:00:00,194.00,290.00,15.25,79.25,54.55,47.25,22.25,0.00,14.02,NA,NA,NA,NA,NA,NA,14.68,58.75,0.32,288.50,0.00,0.00,21.00,740.00,NA
2022-01-01 23:00:00,176.00,255.00,24.22,79.82,62.18,48.00,22.65,0.00,9.90,NA,NA,NA,NA,NA,NA,13.85,63.25,0.30,271.75,0.00,0.00,21.00,740.00,NA
2022-01-02 00:00:00,184.50,258.75,20.90,73.92,56.32,49.53,21.67,0.00,9.05,NA,NA,NA,NA,NA,NA,13.00,69.25,0.32,279.25,0.00,0.00,21.00,740.00,NA
2022-01-02 01:00:00,210.67,288.75,14.38,69.23,48.52,50.78,17.60,0.00,9.10,NA,NA,NA,NA,NA,NA,12.58,71.50,0.30,270.75,0.00,0.00,21.00,740.00,NA
2022-01-02 02:00:00,215.00,296.50,18.70,70.50,52.70,42.90,18.90,4.08,7.10,NA,NA,NA,NA,NA,NA,12.10,76.25,0.30,267.50,0.00,0.00,21.00,740.00,NA
2022-01-02 03:00:00,226.25,317.50,32.05,71.18,63.90,44.25,19.50,5.98,5.75,NA,NA,NA,NA,NA,NA,11.30,80.50,0.32,262.75,0.00,0.00,21.00,740.00,NA
2022-01-02 04:00:00,231.25,327.50,12.75,67.40,46.18,49.37,18.35,8.25,5.88,NA,NA,NA,NA,NA,NA,11.45,80.25,0.48,271.50,0.00,0.00,21.00,740.00,NA
2022-01-02 05:00:00,229.33,318.75,8.48,58.85,38.20,50.40,18.58,2.45,5.88,NA,NA,NA,NA,NA,NA,11.02,83.25,0.50,272.00,0.00,0.00,21.00,740.00,NA
2022-01-02 06:00:00,242.50,336.00,11.30,59.92,41.08,52.53,20.45,0.01,5.30,NA,NA,NA,NA,NA,NA,10.35,86.25,0.48,267.00,0.00,0.00,21.00,740.00,NA
2022-01-02 07:00:00,266.25,380.25,15.48,65.12,47.22,54.65,20.85,0.01,4.95,NA,NA,NA,NA,NA,NA,9.90,88.75,0.50,276.50,0.00,0.00,28.00,740.00,NA
2022-01-02 08:00:00,291.50,419.75,24.45,67.75,55.95,57.62,21.12,0.01,5.28,NA,NA,NA,NA,NA,NA,10.62,86.50,0.50,284.00,0.00,0.00,60.25,740.00,NA
2022-01-02 09:00:00,334.00,471.25,20.35,78.20,58.15,64.35,22.62,0.01,5.15,NA,NA,NA,NA,NA,NA,13.25,77.25,0.40,251.00,0.00,0.00,109.00,740.00,NA
2022-01-02 10:00:00,328.67,471.25,13.52,76.40,51.62,65.97,22.05,0.01,6.07,NA,NA,NA,NA,NA,NA,17.67,59.25,0.38,123.75,0.00,0.00,165.25,740.00,NA
2022-01-02 11:00:00,270.75,384.50,9.25,64.15,41.68,79.53,23.75,2.47,13.00,NA,NA,NA,NA,NA,NA,20.48,49.25,0.40,231.50,0.00,0.00,184.25,740.00,NA
2022-01-02 12:00:00,210.33,316.00,7.22,59.85,37.70,84.90,26.85,4.51,19.82,NA,NA,NA,NA,NA,NA,22.15,39.75,0.43,223.25,0.00,0.00,159.50,740.00,NA
2022-01-02 13:00:00,156.33,263.00,5.90,46.65,29.65,66.15,26.18,7.10,21.85,NA,NA,NA,NA,NA,NA,23.33,30.75,0.45,243.25,0.00,0.00,170.25,740.00,NA
2022-01-02 14:00:00,82.50,139.00,5.60,45.42,28.72,58.08,24.90,5.68,24.62,NA,NA,NA,NA,NA,NA,23.52,30.00,0.50,257.50,0.00,0.00,137.25,740.00,NA
2022-01-02 15:00:00,81.00,136.00,4.88,38.52,24.42,51.40,19.70,0.95,30.60,NA,NA,NA,NA,NA,NA,23.40,28.33,0.47,270.33,0.00,0.00,81.67,740.00,NA
2022-01-02 16:00:00,86.00,150.00,6.30,66.03,40.22,44.90,21.38,0.00,21.10,NA,NA,NA,NA,NA,NA,22.92,31.25,0.40,281.25,0.00,0.00,48.00,740.00,NA
2022-01-02 17:00:00,86.25,157.25,10.70,95.40,59.42,42.72,19.85,0.00,9.05,NA,NA,NA,NA,NA,NA,20.88,37.75,0.48,278.75,0.00,0.00,24.00,740.00,NA
2022-01-02 18:00:00,100.25,198.00,16.32,88.15,60.18,45.75,19.42,0.06,5.57,NA,NA,NA,NA,NA,NA,18.57,46.75,0.50,301.25,0.00,0.00,21.00,740.00,NA
2022-01-02 19:00:00,146.25,261.25,13.25,82.08,54.40,50.05,19.55,NA,4.88,NA,NA,NA,NA,NA,NA,17.12,51.25,0.50,274.50,0.00,0.00,21.00,740.00,NA
2022-01-02 20:00:00,165.25,275.00,12.28,76.55,50.72,46.42,20.15,1.58,4.20,NA,NA,NA,NA,NA,NA,16.18,53.25,0.50,276.75,0.00,0.00,21.00,740.00,NA
2022-01-02 21:00:00,168.67,262.25,16.58,79.50,55.73,44.72,20.45,0.02,3.78,NA,NA,NA,NA,NA,NA,15.18,57.50,0.45,293.50,0.00,0.00,21.00,740.00,NA
2022-01-02 22:00:00,171.50,265.75,17.48,79.45,56.45,43.02,20.08,0.02,3.52,NA,NA,NA,NA,NA,NA,14.62,61.25,0.43,291.50,0.00,0.00,21.00,740.00,NA
2022-01-02 23:00:00,168.00,259.25,14.52,73.15,50.78,46.85,20.60,NA,3.20,NA,NA,NA,NA,NA,NA,14.32,63.50,0.38,276.75,0.00,0.00,21.00,740.00,NA
2022-01-03 00:00:00,184.00,276.50,15.20,76.00,52.80,46.78,19.37,NA,3.95,NA,NA,NA,NA,NA,NA,13.62,67.75,0.32,280.25,0.00,0.00,21.00,740.00,NA
2022-01-03 01:00:00,196.00,298.75,18.52,71.45,53.08,47.47,18.40,NA,4.40,NA,NA,NA,NA,NA,NA,13.10,71.25,0.35,265.50,0.00,0.00,21.00,740.00,NA
2022-01-03 02:00:00,199.00,301.50,14.50,64.80,46.20,41.70,17.10,NA,4.50,NA,NA,NA,NA,NA,NA,12.62,74.25,0.40,262.75,0.00,0.00,21.00,740.00,NA
2022-01-03 03:00:00,212.33,316.75,9.85,61.02,40.50,46.80,18.52,NA,3.40,NA,NA,NA,NA,NA,NA,12.30,76.75,0.40,269.25,0.00,0.00,21.00,740.00,NA
2022-01-03 04:00:00,219.00,326.25,7.80,59.75,38.12,50.02,18.30,NA,3.68,NA,NA,NA,NA,NA,NA,11.48,80.75,0.50,268.25,0.00,0.00,21.00,740.00,NA
2022-01-03 05:00:00,213.00,310.75,8.28,60.98,39.15,49.45,17.82,NA,3.62,NA,NA,NA,NA,NA,NA,11.15,82.00,0.50,272.75,0.00,0.00,21.00,740.00,NA
2022-01-03 06:00:00,218.67,315.25,8.80,63.08,40.72,50.55,18.20,NA,3.53,NA,NA,NA,NA,NA,NA,10.90,83.50,0.55,273.25,0.00,0.00,21.00,740.00,NA
2022-01-03 07:00:00,242.33,349.25,17.85,65.60,49.38,51.50,17.75,NA,3.40,NA,NA,NA,NA,NA,NA,10.52,85.00,0.48,279.75,0.00,0.00,27.75,740.00,NA
2022-01-03 08:00:00,267.00,377.00,16.32,72.22,51.70,56.98,14.23,0.01,6.43,NA,NA,NA,NA,NA,NA,11.65,80.50,0.58,277.50,0.00,0.00,69.75,740.00,NA
2022-01-03 09:00:00,327.00,444.00,18.38,81.18,58.08,59.42,18.02,NA,4.05,NA,NA,NA,NA,NA,NA,14.03,72.00,0.50,278.75,0.00,0.00,120.25,740.00,NA
2022-01-03 10:00:00,307.75,422.00,12.58,76.55,50.98,59.00,17.98,NA,5.10,NA,NA,NA,NA,NA,NA,17.35,58.25,0.45,229.50,0.00,0.00,163.75,740.00,NA
2022-01-03 11:00:00,229.33,337.00,7.50,69.72,43.20,64.12,19.83,NA,5.98,NA,NA,NA,NA,NA,NA,20.40,45.00,0.45,230.33,0.00,0.00,180.67,740.00,NA
2022-01-03 12:00:00,181.00,270.75,6.50,64.97,39.88,68.18,20.08,NA,5.60,NA,NA,NA,NA,NA,NA,21.80,37.50,0.58,258.50,0.00,0.00,167.25,740.00,NA
2022-01-03 13:00:00,150.25,228.00,5.60,55.58,34.10,61.55,20.90,NA,9.62,NA,NA,NA,NA,NA,NA,23.15,30.25,0.57,254.75,0.00,0.00,168.50,740.00,NA
2022-01-03 14:00:00,121.00,183.00,6.30,51.50,32.50,57.10,22.00,NA,8.10,NA,NA,NA,NA,NA,NA,23.80,29.00,0.60,254.00,0.00,0.00,154.00,740.00,NA
2022-01-03 15:00:00,121.00,183.00,NA,NA,0.00,NA,NA,0.00,4.30,NA,NA,NA,NA,NA,NA,23.70,30.00,0.60,272.00,0.00,0.00,76.00,740.00,NA
2022-01-03 16:00:00,104.00,196.00,3.75,42.08,25.45,41.28,21.37,0.33,15.70,NA,NA,NA,NA,NA,NA,22.95,33.25,0.57,270.75,0.00,0.00,50.50,740.00,NA
2022-01-03 17:00:00,110.25,204.25,5.82,62.72,38.10,56.10,20.92,NA,4.88,NA,NA,NA,NA,NA,NA,20.88,41.25,0.60,267.50,0.00,0.00,24.50,740.00,NA
2022-01-03 18:00:00,150.50,256.00,6.78,77.77,46.85,59.15,22.60,NA,4.73,NA,NA,NA,NA,NA,NA,19.10,50.75,0.50,272.25,0.00,0.00,21.00,740.00,NA
