Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,113.5,161.25,1.0,41.224999999999994,8.7,15.275,9.15,0.4975,2.9666666666666663,0.4,0.575,0.3,,,,16.275,87.0,2.675,34.5,0.0,0.0,9.0,741.0,
2023-01-01 01:00:00,96.75,134.0,0.2,33.9,8.825000000000001,12.5,9.05,0.4775,6.3,0.3,0.625,0.25,,,,16.25,87.0,2.35,35.75,0.0,0.0,9.0,741.0,
2023-01-01 02:00:00,87.5,120.5,,38.0,8.850000000000001,13.9,8.9,0.08,4.125,0.3,0.675,0.275,,,,16.025,87.0,1.6,33.5,0.0,0.0,9.0,741.0,
2023-01-01 03:00:00,88.75,115.5,,43.75,8.9,16.05,10.3,0.16499999999999998,2.025,0.325,1.1,0.35,,,,15.875,87.0,2.0,36.0,0.0,0.0,9.0,741.0,
2023-01-01 04:00:00,88.25,116.5,1.35,42.5,8.9,15.775,9.4,0.38999999999999996,1.6,0.375,1.5,0.6499999999999999,,,,15.575,87.0,1.95,36.75,0.0,0.0,9.0,741.0,
2023-01-01 05:00:00,91.75,128.75,0.35,45.975,8.925,17.125,6.975,0.6675,1.025,0.4,1.775,0.45,,,,15.475,87.0,2.225,36.75,0.0,0.0,9.0,741.0,
2023-01-01 06:00:00,100.0,143.0,,47.95,9.0,17.1,8.8,0.71,,0.4,1.25,0.75,,,,15.2,87.0,1.6,36.0,0.0,0.0,9.0,741.0,
2023-01-01 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 08:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 09:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 10:00:00,100.0,143.0,,,160.2,,,0.0,6.3,,,,,,,21.9,76.0,2.6,65.0,0.0,0.0,160.0,742.0,
2023-01-01 11:00:00,143.0,210.0,0.4,28.2,169.5,10.6,36.175,1.6725,29.7,0.375,0.35,0.125,,,,23.175,70.0,2.3499999999999996,73.25,0.0,0.0,169.75,742.0,
2023-01-01 12:00:00,146.0,209.0,0.9,39.225,145.3,14.9,76.575,0.5366666666666667,32.25,0.42500000000000004,0.25,0.07500000000000001,,,,25.275,61.5,1.875,78.25,0.0,0.0,145.25,742.0,
2023-01-01 13:00:00,149.0,201.75,,38.85,171.2,13.825,84.9,0.47,41.3,0.4,0.2,0.1,,,,26.025,55.25,2.325,80.75,0.0,0.0,171.25,742.0,
2023-01-01 14:00:00,143.0,189.0,,31.55,137.8,11.2,56.7,0.455,45.7,0.3,0.2,0.1,,,,26.0,50.5,3.15,73.0,0.0,0.0,137.5,742.0,
2023-01-01 15:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 16:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 17:00:00,143.0,189.0,,,8.8,,30.3,0.575,36.3,,,,,,,23.0,64.5,0.3,18.0,0.0,0.0,8.5,742.0,
2023-01-01 18:00:00,,,,11.6,8.3,4.1,32.6,2.03,35.8,0.2,0.2,0.0,,,,22.5,67.0,0.3,20.0,0.0,0.0,8.0,742.0,
2023-01-01 19:00:00,258.0,332.0,,31.525,8.525,9.475000000000001,35.1,1.6833333333333333,14.55,0.6,0.3,0.1,,,,21.2,73.75,0.8999999999999999,25.0,0.0,0.0,9.0,742.0,
2023-01-01 20:00:00,225.0,303.5,2.1,40.7,8.875,15.15,51.65,1.81,11.85,0.6,0.275,0.2,,,,20.3,78.0,1.0,39.0,0.0,0.0,9.0,742.0,
2023-01-01 21:00:00,125.25,218.0,0.9,36.6,8.975,13.15,43.725,1.9625,4.4,0.625,0.25,0.25,,,,18.525,81.75,1.775,40.0,0.0,0.0,9.0,742.0,
2023-01-01 22:00:00,125.75,220.0,0.7666666666666666,36.65,8.775,13.875,32.86666666666667,2.06,1.025,0.7,0.225,0.175,,,,17.725,83.0,2.15,39.0,0.0,0.0,9.0,742.0,
2023-01-01 23:00:00,126.0,215.0,0.4,35.75,8.6,13.425,9.2,0.5974999999999999,0.8,0.75,0.25,0.2,,,,17.025,87.0,2.125,39.75,0.0,0.0,8.75,742.0,
2023-01-02 00:00:00,96.33333333333333,172.5,0.95,35.825,8.725,13.525,5.725,0.58,,0.8,0.3,0.275,,,,17.0,87.0,2.3,46.75,0.0,0.0,9.0,742.0,
2023-01-02 01:00:00,81.5,138.75,0.9,38.2,8.725,13.55,4.6,0.5225,1.1,0.775,0.3,0.25,,,,17.325,87.0,1.525,51.75,0.0,0.0,9.0,742.0,
2023-01-02 02:00:00,70.0,120.75,0.5,28.8,8.725,11.0,8.2,,1.9,0.6749999999999999,0.3,0.3,,,,17.275,87.0,1.5,31.25,0.0,0.0,9.0,742.0,
2023-01-02 03:00:00,67.0,120.0,0.6,31.4,8.8,11.425,9.275,,2.175,0.6,0.3,0.225,,,,17.375,87.0,1.35,29.25,0.0,0.0,9.0,741.75,
2023-01-02 04:00:00,71.0,147.0,0.4,45.525,8.75,16.9,19.566666666666666,0.060000000000000005,3.925,0.575,0.25,0.15000000000000002,,,,17.15,87.0,1.45,36.0,0.0,0.0,9.0,741.0,
2023-01-02 05:00:00,72.0,171.75,0.5,32.775,8.975,12.375,23.825,0.4875,6.65,0.5,0.2,0.1,,,,16.95,87.0,0.95,29.75,0.0,0.0,9.0,741.5,
2023-01-02 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 08:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 09:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-02 10:00:00,72.0,165.0,,,42.9,,,0.0,1.0,,,,,,,18.6,81.0,0.6,29.0,0.0,0.0,43.0,742.0,
2023-01-02 11:00:00,,,,5.5,50.4,1.7,,0.5,7.2,,,,,,,19.1,82.0,0.8,35.0,0.0,0.0,50.0,742.0,
2023-01-02 12:00:00,95.0,176.0,,23.125,54.400000000000006,7.775,16.450000000000003,1.5725,17.65,0.3666666666666667,0.20000000000000004,0.0,,,,19.675,82.5,1.2,41.5,0.0,0.0,54.75,742.0,
2023-01-02 13:00:00,97.66666666666667,175.0,0.6,20.85,62.474999999999994,7.975,20.125,1.5425,19.075,0.4,0.2,0.07500000000000001,,,,20.275,77.75,1.275,46.0,0.0,0.0,62.5,742.0,
2023-01-02 14:00:00,103.0,172.0,0.5,20.53333333333333,85.25,6.6000000000000005,11.8,1.25,22.2,,,,,,,21.0,74.5,1.7000000000000002,50.0,0.0,0.0,85.0,742.0,
2023-01-02 15:00:00,109.0,184.0,0.2,22.2,56.9,7.9750000000000005,16.95,1.6075,24.8,0.375,0.17500000000000002,0.025,,,,20.9,74.5,1.05,51.5,0.0,0.0,56.75,742.0,
2023-01-02 16:00:00,109.0,184.0,1.1,22.2,45.2,8.9,18.3,1.68,24.9,0.4,0.2,0.0,,,,20.9,74.0,0.4,47.0,0.0,0.0,45.0,742.0,
2023-01-02 17:00:00,109.0,184.0,,,9.1,,,0.0,,,,,,,,17.9,82.0,1.4,38.0,0.0,0.0,9.0,742.0,
2023-01-02 18:00:00,102.0,198.0,,31.825,9.025,10.9,31.025,1.6500000000000001,9.825,0.3666666666666667,0.20000000000000004,0.06666666666666667,,,,17.25,81.25,0.4,43.0,0.0,0.0,9.0,742.0,
2023-01-02 19:00:00,104.5,210.0,0.6,36.525,9.0,13.375,45.075,1.8075,7.75,0.525,0.2,0.15000000000000002,,,,17.225,81.0,1.0999999999999999,36.0,0.0,0.0,9.0,742.0,
2023-01-02 20:00:00,112.0,249.5,1.1,37.35,9.125,13.875,47.4,1.8,4.225,0.525,0.2,0.15000000000000002,,,,16.825,81.0,1.0250000000000001,31.25,0.0,0.0,9.0,742.0,
2023-01-02 21:00:00,114.75,252.5,0.30000000000000004,35.85,9.2,13.125,45.224999999999994,1.88,3.0,0.6,0.2,0.17500000000000002,,,,16.875,81.0,0.375,31.0,0.0,0.0,9.0,742.0,
2023-01-02 22:00:00,115.0,231.75,1.1,35.55,9.125,13.45,45.43333333333334,1.8966666666666665,2.125,0.6,0.2,0.125,,,,16.325,85.25,0.47500000000000003,31.0,0.0,0.0,9.0,742.0,
2023-01-02 23:00:00,115.75,232.25,1.0,32.15,8.725,12.35,13.375,0.6475,1.0,0.6,0.225,0.17500000000000002,,,,15.525,87.0,0.425,38.5,0.0,0.0,9.0,742.0,
2023-01-03 00:00:00,107.25,213.75,0.7999999999999999,26.95,8.7,10.375,10.4,0.725,1.775,0.6,0.225,0.2,,,,15.575,87.0,0.3,37.5,0.0,0.0,9.0,742.0,
2023-01-03 01:00:00,107.0,206.75,,28.825,8.925,10.125,10.575,0.6575,4.0,0.675,0.3,0.17500000000000002,,,,15.975000000000001,87.0,0.6,40.75,0.0,0.0,9.0,742.0,
2023-01-03 02:00:00,107.5,216.0,0.8,22.6,9.2,8.9,18.7,,10.175,0.75,0.25,0.2,,,,16.525,87.0,1.225,42.0,0.0,0.0,9.0,742.0,
2023-01-03 03:00:00,80.5,190.0,1.0666666666666667,22.8,9.2,8.6,19.7,0.03,12.45,0.475,0.2,0.1,,,,16.775,87.0,0.85,35.0,0.0,0.0,9.0,742.0,
2023-01-03 04:00:00,85.5,185.0,0.9333333333333332,22.299999999999997,9.2,8.625,17.866666666666664,0.07666666666666667,11.75,0.4,0.2,0.07500000000000001,,,,16.75,87.0,1.65,30.0,0.0,0.0,9.0,742.0,
2023-01-03 05:00:00,87.0,188.0,0.5,20.7,9.2,7.6000000000000005,22.96666666666667,0.6,15.700000000000001,0.4000000000000001,0.20000000000000004,0.06666666666666667,,,,16.8,81.66666666666667,2.1,29.0,0.0,0.0,9.0,742.0,
2023-01-03 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 08:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 09:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 10:00:00,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,
2023-01-03 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 12:00:00,,,,,85.8,,,,13.1,,,,,,,19.0,74.0,1.9,43.0,0.0,0.0,86.0,742.0,
2023-01-03 13:00:00,,,,,128.4,,,,0.9,,,,,,,20.9,67.0,1.9,52.0,0.0,0.0,128.0,742.0,
2023-01-03 14:00:00,118.0,217.0,1.4,21.900000000000002,101.6,8.6,24.666666666666668,1.7174999999999998,42.3,0.26666666666666666,0.16666666666666666,0.0,,,,21.0,65.5,1.375,51.25,0.0,0.0,101.75,742.0,
2023-01-03 15:00:00,118.0,217.0,,20.15,85.35,7.45,28.9,1.8450000000000002,36.599999999999994,0.4,0.2,0.0,,,,20.95,66.0,2.0,50.0,0.0,0.0,85.0,742.0,
2023-01-03 16:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 17:00:00,118.0,217.0,,,9.399999999999999,,,0.0,10.45,,,,,,,17.25,82.0,0.95,27.5,0.0,0.0,9.5,742.0,
2023-01-03 18:00:00,,292.0,0.45,41.525,8.9,15.5,29.075000000000003,2.08,5.7749999999999995,0.4,0.25,0.1,,,,16.475,81.25,0.3,43.75,0.0,0.0,9.0,742.0,
2023-01-03 19:00:00,129.0,295.0,2.7,52.0,8.775,19.125,34.675,2.14,0.9666666666666667,0.6,0.3,0.25,,,,15.725,86.0,0.4,38.75,0.0,0.0,9.0,742.0,
2023-01-03 20:00:00,126.0,305.0,0.75,50.9,8.8,18.825,40.75,2.21,0.4,0.6,0.3,0.3,,,,15.125,87.0,0.75,37.0,0.0,0.0,9.0,742.0,
2023-01-03 21:00:00,112.0,292.0,1.0,53.325,8.7,19.65,40.175,1.6666666666666667,,0.575,0.3,0.45,,,,14.775,87.0,1.425,33.25,0.0,0.0,9.0,742.0,
2023-01-03 22:00:00,95.66666666666667,240.0,1.2000000000000002,46.75,8.45,17.35,39.86666666666667,0.55,,0.5,0.3,0.475,,,,14.475,87.0,1.45,27.75,0.0,0.0,8.25,742.0,
2023-01-03 23:00:00,87.25,209.25,0.26666666666666666,42.475,8.575,15.625,11.375,0.565,0.6666666666666666,0.5,0.3,0.575,,,,14.45,87.0,2.4749999999999996,26.25,0.0,0.0,8.75,742.0,
