Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,78.25,126.25,15.0,84.425,57.1,41.3,7.85,0.6625,12.1975,0.35,3.725,,,,,19.625,88.0,1.6,171.0,,0.0,9.0,738.0,
2023-01-01 01:00:00,77.0,115.0,14.1,81.2,54.675,41.725,9.325,0.595,,0.3,2.575,,,,,19.4,89.5,1.4,168.5,,0.0,9.0,738.0,
2023-01-01 02:00:00,71.5,106.0,14.9,86.2,58.0,52.7,3.9,0.58,6.993333333333333,0.275,2.3499999999999996,,,,,19.05,91.25,1.175,160.75,,0.0,9.0,738.0,
2023-01-01 03:00:00,73.75,108.0,15.2,86.44999999999999,58.325,52.275,10.399999999999999,0.58,,0.2,2.675,,,,,18.924999999999997,91.75,1.2,156.0,,0.0,9.0,738.0,
2023-01-01 04:00:00,81.0,119.0,29.15,80.25,66.4,47.7,8.5,0.6766666666666667,,0.225,3.15,,,,,18.4,94.0,0.375,141.0,,0.0,9.0,738.0,
2023-01-01 05:00:00,101.5,144.25,59.0,69.925,85.175,47.325,8.3,1.0875,19.866666666666664,0.35,5.775,,,,,18.025,97.0,0.3,236.75,,0.0,9.0,738.0,
2023-01-01 06:00:00,121.0,184.5,71.075,75.475,97.95,47.099999999999994,10.05,1.4775,91.08500000000001,0.375,9.275,,,,,18.175,,0.3,186.25,,0.0,9.0,738.0,
2023-01-01 07:00:00,135.5,213.25,97.875,77.75,120.925,43.2,9.525,1.885,77.91,0.375,9.225,,,,,18.175,,0.3,184.75,,0.0,11.5,738.0,
2023-01-01 08:00:00,151.75,222.25,86.925,93.0,120.125,42.05,9.2,1.9100000000000001,18.035,0.475,9.95,,,,,19.0,93.5,0.9500000000000001,150.5,,0.0,57.25,738.0,
2023-01-01 09:00:00,143.75,232.25,47.05,101.5,92.25,38.5,12.975,1.045,21.53,0.35,5.95,,,,,20.875,82.25,1.625,167.0,,0.0,136.0,738.5,
