Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,60.1,73.60000000000001,10.729999999999999,36.876666666666665,26.150000000000002,29.823333333333334,16.817500000000003,1.6175,6.3325000000000005,,,,,,,,,1.295,263.4225,0.0,0.0,,,
2023-01-01 01:00:00,62.425,76.0,10.31,37.865,26.5,28.13,13.9425,1.2850000000000001,6.095,,,,,,,,,0.73,243.89499999999998,0.0,0.0,,,
2023-01-01 02:00:00,63.275,74.25,10.682500000000001,37.83,26.6725,33.0775,3.9275,1.15,2.2600000000000002,,,,,,,,,0.655,215.655,0.0,0.0,,,
2023-01-01 03:00:00,64.9,68.875,10.6375,38.5475,27.145,32.379999999999995,2.7675,1.4224999999999999,0.9075,,,,,,,,,0.725,226.2,0.0,0.0,,,
2023-01-01 04:00:00,63.025,70.175,10.4975,37.6675,26.697499999999998,29.3,1.635,1.385,0.27749999999999997,,,,,,,,,0.8275,223.095,0.0,0.0,,,
2023-01-01 05:00:00,66.2,74.725,10.76,38.075,27.05,29.5175,1.3375,1.4725,0.14750000000000002,,,,,,,,,0.9400000000000001,222.575,0.0,0.0,,,
2023-01-01 06:00:00,72.82499999999999,76.875,10.3225,37.7275,26.447499999999998,25.855,1.7125,1.175,0.095,,,,,,,,,0.9275,231.095,0.0,0.0,,,
2023-01-01 07:00:00,71.0,87.6,10.64,38.3125,26.96,29.135,2.4475,1.32,0.2925,,,,,,,,,0.5975,226.89000000000001,0.0,0.0,,,
2023-01-01 08:00:00,,,10.535,38.525,26.497500000000002,28.5625,3.0275,1.4675,1.1275,,,,,,,,,0.5075,228.845,0.0,0.0,,,
2023-01-01 09:00:00,,,10.455,37.9,26.925,27.765,4.92,1.0925,3.38,,,,,,,,,0.8300000000000001,240.5975,0.0,0.0,,,
2023-01-01 10:00:00,118.7,122.575,10.6375,37.745000000000005,26.23,29.857499999999998,6.0975,1.4300000000000002,7.6,,,,,,,,,0.4525,289.9425,0.0,0.0,,,
2023-01-01 11:00:00,115.35,119.4,10.2275,38.7625,26.494999999999997,30.62,6.66,1.2525,12.5875,,,,,,,,,0.69,190.6375,0.0,0.0,,,
2023-01-01 12:00:00,109.375,130.0,10.4425,37.135,26.8,28.5775,7.4875,1.1975,17.8275,,,,,,,,,0.96,268.45,0.0,0.0,,,
2023-01-01 13:00:00,99.56666666666668,124.64999999999999,10.657499999999999,36.56666666666666,26.7075,29.46666666666667,7.1875,1.0375,17.8675,,,,,,,,,0.7633333333333333,107.70250000000001,0.0,0.0,,,
2023-01-01 14:00:00,86.05000000000001,105.225,10.4975,37.225,26.875,31.28,5.9799999999999995,1.305,19.3075,,,,,,,,,0.8125,97.74249999999999,0.0,0.0,,,
2023-01-01 15:00:00,75.65,84.45,10.455,39.239999999999995,26.4675,28.555,4.8950000000000005,1.3725,19.125,,,,,,,,,0.7825,27.7425,0.0,0.0,,,
2023-01-01 16:00:00,63.25,65.44999999999999,10.45,37.9325,26.4175,26.2575,4.2,1.51,18.235,,,,,,,,,0.45,27.005,0.0,0.0,,,
2023-01-01 17:00:00,65.3,68.73333333333333,10.39,37.2425,26.985,29.1075,3.8225,1.4375,11.3625,,,,,,,,,0.49250000000000005,42.105,0.0,0.0,,,
2023-01-01 18:00:00,71.95,94.60000000000001,10.335,37.4525,26.447499999999998,29.9575,3.8200000000000003,1.2725,3.6,,,,,,,,,0.1825,121.7425,0.0,0.0,,,
2023-01-01 19:00:00,89.8,122.775,10.3125,38.480000000000004,26.24,29.9075,3.7874999999999996,1.24,0.9125,,,,,,,,,0.2525,149.245,0.0,0.0,,,
2023-01-01 20:00:00,109.725,135.45,10.6475,38.6325,26.5525,29.8675,2.8375,1.0899999999999999,0.23249999999999998,,,,,,,,,0.1825,64.70750000000001,0.0,0.0,,,
2023-01-01 21:00:00,115.025,135.025,10.595,37.635,26.9125,28.295,2.5175,1.5,0.015,,,,,,,,,0.2975,126.05250000000001,0.0,0.0,,,
2023-01-01 22:00:00,118.025,137.35,10.535,37.5875,26.63,28.322499999999998,1.28,1.4275,0.1366666666666667,,,,,,,,,0.595,51.2825,0.0,0.0,,,
2023-01-01 23:00:00,116.96666666666665,133.1,10.456666666666665,38.88666666666666,26.810000000000002,28.709999999999997,1.1033333333333333,1.4566666666666668,0.195,,,,,,,,,0.8466666666666667,63.673333333333325,0.0,0.0,,,
2023-01-02 00:00:00,96.1,113.125,10.64,37.39666666666667,26.636666666666667,29.486666666666665,1.1325,1.5075,0.115,,,,,,,,,0.47250000000000003,73.88,0.0,0.0,,,
2023-01-02 01:00:00,77.075,103.25,10.5175,37.37,26.7375,28.8675,0.37750000000000006,1.0875,0.01,,,,,,,,,0.615,60.9,0.0,0.0,,,
2023-01-02 02:00:00,70.775,82.3,10.6775,38.165,26.7125,28.4725,0.7975,1.4725000000000001,0.07500000000000001,,,,,,,,,0.575,71.115,0.0,0.0,,,
2023-01-02 03:00:00,66.175,72.225,10.3975,37.395,26.447499999999998,25.3325,0.6125,1.145,0.043333333333333335,,,,,,,,,0.4225,81.65,0.0,0.0,,,
2023-01-02 04:00:00,62.35,70.69999999999999,10.535,37.2575,26.2325,26.6425,0.5475,1.3225,0.175,,,,,,,,,0.4625,114.5725,0.0,0.0,,,
2023-01-02 05:00:00,58.675,65.425,10.3075,37.725,26.7075,29.3625,0.45499999999999996,1.3,0.6025,,,,,,,,,0.415,103.185,0.0,0.0,,,
