Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,60.275,78.2,6.9825,5.0575,15.2925,33.695,8.515,0.8275,39.745000000000005,3.99,38.2375,7.05,,,5.9225,17.03,99.0725,0.4549999999999999,238.12,0.0,0.0,,,
2023-01-01 01:00:00,65.0775,81.3,7.012499999999999,5.032500000000001,15.3575,34.1425,8.225,0.755,40.1725,4.0075,38.2925,7.0725,,,6.035,16.802500000000002,99.06,0.1525,188.2475,0.0,0.0,,,
2023-01-01 02:00:00,66.205,79.525,7.065,5.0325,15.055,34.52,7.5775,0.77,41.0025,4.0425,38.045,7.0175,,,6.13,15.8025,98.8625,0.255,180.845,0.0,0.0,,,
2023-01-01 03:00:00,62.67,72.7,6.803333333333334,4.9825,14.865,34.345,7.6075,0.725,37.77,3.9075,37.8925,6.915,,,6.09,14.095,98.735,0.3875,242.69,0.0,0.0,,,
2023-01-01 04:00:00,61.92,70.625,6.8875,5.02,15.07,33.84,5.7125,0.6575,38.295,3.9275,38.0575,7.205,,,5.96,15.4325,99.3325,0.4649999999999999,238.685,0.0,0.0,,,
2023-01-01 05:00:00,56.68,64.3,6.795,5.18,14.685,34.2125,6.635,0.6975,36.3575,3.8475,37.7425,7.045,,,6.055,14.82,99.77,0.335,243.51,0.0,0.0,,,
2023-01-01 06:00:00,49.52,59.425,7.11,5.0,14.6975,34.705,3.2175,0.7275,41.675,4.07,37.75,6.99,,,6.1825,16.0,99.50666666666666,0.3974999999999999,267.1325,0.0,0.0,,,
2023-01-01 07:00:00,50.5775,54.825,6.976666666666667,5.0425,15.3075,34.01,4.0875,0.7124999999999999,38.6,3.9425,38.2475,6.965,,,6.0,15.21,99.5075,0.435,173.4975,0.0,0.0,3.986666666666667,,
2023-01-01 08:00:00,55.25,57.1,7.345,5.1,15.255,33.68,4.98,0.73,45.165000000000006,4.220000000000001,38.21,7.02,,,5.92,13.62,99.345,0.3,92.735,0.0,0.0,10.815,,
2023-01-01 09:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 12:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 13:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 14:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 15:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 16:00:00,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2023-01-01 17:00:00,109.665,136.2,6.88,4.984999999999999,15.3,33.15,5.52,1.22,38.22,3.93,37.67,7.0,,,5.779999999999999,17.08,99.12,0.46,97.68,0.0,0.0,,,
