Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,72.0,89.0,10.15,34.7,26.7,27.825,0.525,0.77,8.6,,,,,,,11.775,94.5,0.85,148.25,0.0,0.0,16.0,742.0,
2023-01-01 01:00:00,72.0,89.0,9.575,34.025,25.9,27.025,0.45,0.6525,12.9,,,,,,,11.5,95.5,1.125,204.25,0.0,0.0,16.0,742.0,
2023-01-01 02:00:00,,,8.45,32.875,24.35,27.475,0.43333333333333335,0.64,10.025,,,,,,,11.225,95.25,1.0,169.0,0.0,0.0,16.0,742.0,
2023-01-01 03:00:00,,,8.2,33.324999999999996,24.349999999999998,27.55,0.2,0.6275,9.3,,,,,,,10.75,96.0,0.75,159.0,0.0,0.0,16.0,742.0,
2023-01-01 04:00:00,,53.0,8.125,32.275,23.8,26.3,,0.615,9.325000000000001,,,,,,,10.0,95.75,0.95,227.0,0.0,0.0,16.0,742.0,
2023-01-01 05:00:00,,,9.55,30.225,23.825,25.6,0.375,0.64,7.3,,,,,,,8.675,95.25,0.675,234.25,0.0,0.0,16.0,742.0,
2023-01-01 06:00:00,,,11.075,32.05,26.075,26.075,0.3333333333333333,0.6699999999999999,9.8,,,,,,,9.75,96.0,1.05,179.5,0.0,0.0,16.0,742.0,
2023-01-01 07:00:00,45.0,46.0,9.899999999999999,33.2,25.674999999999997,26.549999999999997,0.4333333333333333,0.6925,9.325,,,,,,,9.8,96.0,1.0,173.75,0.0,0.0,18.75,742.0,
2023-01-01 08:00:00,45.0,46.0,10.3,34.7,26.85,26.625,0.2,0.79,10.3,,,,,,,10.125,96.0,1.3,197.25,0.0,0.0,37.75,742.0,
2023-01-01 09:00:00,,,10.85,35.35,27.6,27.2,0.22499999999999998,0.8250000000000001,11.425,,,,,,,10.625,96.0,2.15,213.25,0.0,0.0,46.0,742.0,
2023-01-01 10:00:00,70.0,81.0,9.9,35.099999999999994,26.725,27.875,0.6749999999999999,0.8425,11.825,,,,,,,11.2,96.0,1.175,185.25,0.0,0.0,42.0,742.0,
2023-01-01 11:00:00,76.5,90.0,9.825,35.45,26.875,28.05,0.875,0.9375,11.525,,,,,,,11.975,96.0,1.4,150.5,0.0,0.0,47.75,742.0,
2023-01-01 12:00:00,100.75,123.0,9.675,36.1,27.05,28.75,1.075,1.005,14.2,,,,,,,13.55,89.5,1.5999999999999999,207.5,0.0,0.0,86.75,742.0,
2023-01-01 13:00:00,113.0,145.75,8.525,38.55,27.475,29.525,1.025,0.9175,21.225,,,,,,,15.55,80.25,1.825,215.75,0.0,0.0,110.75,742.0,
2023-01-01 14:00:00,108.5,157.25,6.2,40.65,26.675,31.125,1.475,0.9975,29.3,,,,,,,16.7,76.0,1.775,248.5,0.0,0.0,80.75,742.0,
2023-01-01 15:00:00,115.75,163.75,4.425,42.75,26.349999999999998,31.3,2.025,1.1075,30.425,,,,,,,17.475,73.0,1.825,248.0,0.0,0.0,58.25,742.0,
2023-01-01 16:00:00,126.0,208.0,3.475,44.5,26.5,31.6,2.15,1.185,25.45,,,,,,,17.075,75.5,1.85,258.0,0.0,0.0,28.25,742.0,
2023-01-01 17:00:00,129.0,207.5,4.275,43.3,26.525,30.725,1.875,1.35,16.7,,,,,,,16.075,81.25,1.45,256.75,0.0,0.0,17.25,742.0,
2023-01-01 18:00:00,123.5,198.75,6.025,40.65,26.525,28.9,1.625,1.49,10.35,,,,,,,14.775,87.75,1.2,255.25,0.0,0.0,16.0,742.0,
2023-01-01 19:00:00,119.75,159.5,7.575,39.375,27.075,27.950000000000003,1.2,1.21,8.925,,,,,,,13.45,93.25,1.675,225.5,0.0,0.0,16.0,742.0,
2023-01-01 20:00:00,104.0,107.0,8.674999999999999,36.975,26.675,28.675,0.825,1.16,8.25,,,,,,,12.8,96.0,1.375,176.25,0.0,0.0,15.75,742.0,
2023-01-01 21:00:00,,95.0,8.8,34.45,25.5,28.625,1.025,1.01,8.6,,,,,,,11.950000000000001,96.0,1.925,262.5,0.0,0.0,15.0,742.0,
2023-01-01 22:00:00,64.0,65.0,9.225000000000001,32.650000000000006,24.85,29.8,1.0,0.9025,10.175,,,,,,,11.75,96.0,1.775,256.0,0.0,0.0,15.0,742.0,
2023-01-01 23:00:00,64.0,65.0,8.2,31.375,23.35,28.825,0.7666666666666666,0.8533333333333334,11.175,,,,,,,11.525,96.0,1.425,253.25,0.0,0.0,16.0,742.0,
2023-01-02 00:00:00,,,7.55,31.225,22.75,27.05,1.75,0.81,11.775,,,,,,,11.225,96.0,1.4,208.75,0.0,0.0,16.0,742.0,
2023-01-02 01:00:00,,,7.0,29.05,21.125,26.375,1.85,0.8325,16.0,,,,,,,11.0,96.0,1.05,193.25,0.0,0.0,16.0,742.0,
2023-01-02 02:00:00,,,6.65,28.675,20.65,26.4,1.925,0.8574999999999999,12.25,,,,,,,10.95,96.0,1.275,252.25,0.0,0.0,16.0,742.0,
2023-01-02 03:00:00,43.0,46.0,6.125,29.525,20.7,26.15,1.65,0.855,11.875,,,,,,,10.825000000000001,96.0,1.0250000000000001,199.0,0.0,0.0,16.0,742.0,
2023-01-02 04:00:00,43.0,46.0,6.65,30.3,21.5,26.225,2.0,0.8625,11.850000000000001,,,,,,,11.0,96.0,0.65,242.75,0.0,0.0,16.0,742.0,
2023-01-02 05:00:00,55.0,56.0,6.7,30.775,21.825,26.625,1.775,0.855,11.975,,,,,,,11.1,96.0,0.9750000000000001,201.0,0.0,0.0,16.25,742.0,
2023-01-02 06:00:00,55.0,58.75,6.725,31.225,22.075000000000003,26.475,1.55,0.7975,16.474999999999998,,,,,,,10.95,96.0,0.8,163.75,0.0,0.0,16.0,742.0,
2023-01-02 07:00:00,56.75,68.0,6.5,31.25,21.9,25.675,1.775,0.87,13.575,,,,,,,11.275,96.0,0.85,164.75,0.0,0.0,17.25,742.0,
2023-01-02 08:00:00,63.0,71.25,7.225,31.45,22.6,25.875,1.675,0.9375,12.175,,,,,,,11.625,96.0,1.325,185.0,0.0,0.0,21.25,742.0,
2023-01-02 09:00:00,69.75,81.0,8.875,32.725,24.625,25.575,2.025,1.0075,11.6,,,,,,,12.2,93.5,1.625,123.5,0.0,0.0,29.0,742.0,
2023-01-02 10:00:00,85.75,115.25,9.325,32.8,25.05,27.05,1.9000000000000001,0.9075,13.05,,,,,,,12.875,85.5,1.25,107.25,0.0,0.0,42.75,742.0,
2023-01-02 11:00:00,92.75,136.0,8.774999999999999,33.7,25.05,26.75,2.225,0.8825000000000001,16.9,,,,,,,13.575,80.75,1.425,223.0,0.0,0.0,58.0,742.0,
2023-01-02 12:00:00,99.5,130.25,7.275,34.85,24.45,26.85,2.425,0.92,20.625,,,,,,,14.375,76.75,1.325,181.5,0.0,0.0,58.75,742.0,
2023-01-02 13:00:00,107.0,129.5,6.225,36.025,24.2,26.35,2.5,0.9775,23.9,,,,,,,15.0,73.75,1.575,244.0,0.0,0.0,67.5,742.0,
2023-01-02 14:00:00,113.0,146.25,4.85,38.825,24.6,25.799999999999997,1.8,1.13,30.05,,,,,,,15.75,70.5,1.4,195.75,0.0,0.0,69.75,742.0,
2023-01-02 15:00:00,122.0,138.0,4.075,41.55,25.4,26.65,2.525,1.135,31.625,,,,,,,16.05,69.75,1.575,158.75,0.0,0.0,54.5,742.0,
2023-01-02 16:00:00,115.0,159.5,4.2,44.35,27.025,28.625,2.475,1.025,33.3,,,,,,,15.425,72.25,1.5750000000000002,159.75,0.0,0.0,31.75,742.0,
2023-01-02 17:00:00,97.25,141.5,4.6,44.8,27.575,29.525,2.475,1.1075,30.775000000000002,,,,,,,14.2,79.75,1.175,169.25,0.0,0.0,17.5,742.0,
2023-01-02 18:00:00,104.0,150.75,6.625,43.1,28.325000000000003,27.875,2.475,1.52,10.625,,,,,,,12.9,87.25,0.75,155.25,0.0,0.0,16.0,742.0,
2023-01-02 19:00:00,124.75,191.75,10.475,41.75,30.7,28.8,2.2,1.885,8.325,,,,,,,12.725,87.25,1.225,218.5,0.0,0.0,16.0,742.0,
2023-01-02 20:00:00,130.0,182.75,12.05,41.975,32.075,30.0,2.225,1.505,8.575,,,,,,,12.125,88.25,1.2,190.5,0.0,0.0,16.0,742.0,
2023-01-02 21:00:00,124.5,169.25,13.25,39.875,32.0,30.225,2.625,1.9925,7.475,,,,,,,11.525,91.0,0.825,203.0,0.0,0.0,15.75,742.0,
2023-01-02 22:00:00,135.0,188.25,16.675,37.125,33.275,29.175,2.9,1.7075,7.1,,,,,,,11.125,92.25,1.075,241.75,0.0,0.0,15.25,742.0,
2023-01-02 23:00:00,125.33333333333333,139.25,16.9,36.4,33.125,28.6,2.3666666666666667,1.5066666666666666,7.475,,,,,,,10.825,93.75,0.55,118.5,0.0,0.0,15.25,742.0,
2023-01-03 00:00:00,115.75,122.5,16.025000000000002,34.4,31.3,28.075,1.45,1.3675,7.25,,,,,,,10.125,96.0,0.85,211.0,0.0,0.0,16.0,742.0,
2023-01-03 01:00:00,109.0,115.0,14.7,32.15,29.025,27.95,1.225,1.1175000000000002,10.4,,,,,,,9.7,96.0,1.2,218.25,0.0,0.0,16.0,742.0,
2023-01-03 02:00:00,,,11.975,31.725,26.625,28.55,1.275,1.085,8.55,,,,,,,9.975,96.0,1.45,223.0,0.0,0.0,16.0,742.0,
2023-01-03 03:00:00,,74.0,9.775,32.2,25.125,27.325,1.525,1.1025,7.8,,,,,,,9.825000000000001,96.0,1.3,224.0,0.0,0.0,16.0,742.0,
2023-01-03 04:00:00,,,9.025,34.325,25.6,27.525000000000002,1.5,1.11,7.4,,,,,,,9.675,96.0,2.1,228.5,0.0,0.0,16.0,742.0,
2023-01-03 05:00:00,,,9.875,32.75,25.475,27.8,2.125,1.0975000000000001,7.425,,,,,,,9.3,95.75,1.65,225.5,0.0,0.0,16.0,742.0,
2023-01-03 06:00:00,,,10.15,34.475,26.6,28.125,1.875,1.17,7.525,,,,,,,9.5,94.5,1.225,229.25,0.0,0.0,15.0,742.0,
2023-01-03 07:00:00,88.0,103.0,10.55,33.5,26.4,29.075,1.725,1.2650000000000001,7.3500000000000005,,,,,,,9.975,93.75,0.8,242.5,0.0,0.0,17.25,742.0,
2023-01-03 08:00:00,92.25,111.0,11.95,33.975,27.8,29.825000000000003,1.8,1.21,10.0,,,,,,,10.95,87.0,1.075,177.75,0.0,0.0,24.25,742.0,
2023-01-03 09:00:00,108.25,143.0,10.85,37.775,28.9,31.550000000000004,2.175,1.045,13.100000000000001,,,,,,,11.55,82.0,1.425,200.25,0.0,0.0,30.25,742.0,
2023-01-03 10:00:00,118.5,156.5,8.075,39.025,27.325,32.05,3.025,0.825,18.775,,,,,,,11.8,79.25,2.25,199.25,0.0,0.0,42.5,742.0,
2023-01-03 11:00:00,119.75,125.0,5.25,40.45,25.8,31.474999999999998,3.425,0.785,25.275,,,,,,,12.275,76.0,2.0,171.25,0.0,0.0,55.25,742.0,
2023-01-03 12:00:00,120.0,129.75,3.6,36.125,22.174999999999997,34.25,4.675,0.775,31.25,,,,,,,12.95,72.5,2.0,178.5,0.0,0.0,69.0,742.0,
2023-01-03 13:00:00,122.25,147.5,3.25,33.95,20.7,39.35,5.225,0.8125,43.525,,,,,,,14.05,67.75,1.7,169.25,0.0,0.0,89.25,742.0,
2023-01-03 14:00:00,120.0,155.5,3.1,34.625,20.975,43.75,6.2,0.83,57.449999999999996,,,,,,,14.95,63.75,1.325,167.25,0.0,0.0,69.75,742.0,
2023-01-03 15:00:00,118.33333333333333,142.5,3.175,38.65,23.15,50.2,4.275,0.7933333333333333,54.65,,,,,,,14.9,64.5,1.6749999999999998,184.25,0.0,0.0,53.0,742.0,
2023-01-03 16:00:00,114.0,134.25,3.925,43.85,26.525,54.5,2.75,0.8000000000000002,42.825,,,,,,,14.7,65.5,1.05,171.0,0.0,0.0,31.5,742.0,
2023-01-03 17:00:00,114.75,163.75,4.525,49.275,29.9,58.375,0.9333333333333332,1.15,27.725,,,,,,,13.525,72.5,0.875,159.0,0.0,0.0,17.0,743.0,
2023-01-03 18:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 19:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 20:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 21:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 22:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-03 23:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 01:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 02:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 03:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 04:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 05:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 07:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 08:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 09:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-04 10:00:00,,,0.5,24.1,13.2,44.4,5.8,1.02,12.7,,,,,,,8.5,96.0,2.6,192.0,0.0,0.0,39.0,742.0,
2023-01-04 11:00:00,,98.0,2.925,30.85,18.8,44.7,8.524999999999999,0.89,23.275,,,,,,,9.149999999999999,93.5,2.45,203.25,0.0,0.0,39.75,742.0,
2023-01-04 12:00:00,,98.25,4.05,30.8,19.675,36.975,9.85,0.8374999999999999,16.775,,,,,,,10.0,86.25,2.275,202.75,0.0,0.0,52.25,742.0,
2023-01-04 13:00:00,,105.5,3.825,29.125,18.575,35.125,10.75,0.895,19.8,,,,,,,11.0,80.5,2.4,216.5,0.0,0.0,77.75,742.0,
2023-01-04 14:00:00,178.0,349.25,3.525,30.0,18.85,30.725,10.725,0.8925,26.125,,,,,,,13.025,71.25,1.575,174.5,0.0,0.0,82.0,742.0,
2023-01-04 15:00:00,185.5,427.25,4.125,31.55,20.15,26.075,9.7,0.88,30.275,,,,,,,14.25,67.0,1.375,183.5,0.0,0.0,57.75,742.0,
2023-01-04 16:00:00,208.75,548.5,3.675,33.3,20.675,25.975,11.225,0.9725,29.8,,,,,,,14.375,68.0,0.625,136.75,0.0,0.0,32.25,742.0,
2023-01-04 17:00:00,234.25,704.75,4.6,34.625,22.175,25.525,11.5,1.6025,15.8,,,,,,,12.9,76.75,0.55,134.75,0.0,0.0,18.0,742.0,
2023-01-04 18:00:00,332.0,768.0,7.75,38.375,26.7,28.125,11.825000000000001,1.7825,11.4,,,,,,,11.7,82.25,0.4,107.25,0.0,0.0,16.0,742.0,
2023-01-04 19:00:00,406.0,699.0,12.649999999999999,40.574999999999996,31.875,31.825000000000003,13.625,2.55,7.7749999999999995,,,,,,,11.05,85.75,0.55,229.5,0.0,0.0,16.0,742.0,
2023-01-04 20:00:00,450.75,694.0,20.925,42.85,39.8,33.575,13.8,2.3925,7.425,,,,,,,10.175,90.5,0.75,158.5,0.0,0.0,16.0,742.0,
2023-01-04 21:00:00,395.0,661.0,21.5,41.25,39.425,33.375,13.9,1.5625,7.45,,,,,,,9.85,92.5,1.375,227.0,0.0,0.0,15.25,742.0,
2023-01-04 22:00:00,325.3333333333333,530.0,18.35,36.0,34.125,31.4,14.025,1.4425,7.05,,,,,,,9.05,95.0,0.95,172.75,0.0,0.0,16.0,742.0,
2023-01-04 23:00:00,257.3333333333333,385.75,16.55,28.875,28.8,23.700000000000003,12.733333333333334,1.0366666666666668,6.925,,,,,,,8.575,96.0,2.675,213.5,0.0,0.0,15.75,742.0,
2023-01-05 00:00:00,158.33333333333334,226.0,12.175,26.1,23.8,20.175,2.875,0.905,7.45,,,,,,,8.025,96.0,0.975,164.25,0.0,0.0,16.0,742.0,
2023-01-05 01:00:00,117.33333333333333,178.25,10.05,24.3,21.1,19.975,3.0999999999999996,0.8525,9.2,,,,,,,7.75,96.0,1.3,172.75,0.0,0.0,16.0,742.0,
2023-01-05 02:00:00,103.0,161.25,9.1,23.8,20.075,19.299999999999997,3.175,0.785,7.825,,,,,,,7.275,96.0,1.15,200.25,0.0,0.0,16.0,742.0,
2023-01-05 03:00:00,91.0,128.75,9.575,24.05,20.6,17.1,2.975,0.7224999999999999,7.5,,,,,,,6.875,96.0,1.55,219.5,0.0,0.0,16.0,742.0,
2023-01-05 04:00:00,79.0,111.75,8.6,24.425,20.0,14.875,3.175,0.66,7.525,,,,,,,7.125,96.0,1.7,196.75,0.0,0.0,16.0,742.0,
2023-01-05 05:00:00,69.25,113.75,7.800000000000001,24.275,19.25,14.675,3.95,0.6174999999999999,8.6,,,,,,,7.15,96.0,1.575,184.5,0.0,0.0,16.0,742.0,
2023-01-05 06:00:00,65.25,105.25,8.1,24.975,19.9,15.55,4.525,0.6,9.925,,,,,,,6.85,96.0,1.775,186.75,0.0,0.0,17.0,742.0,
2023-01-05 07:00:00,58.0,107.5,9.35,27.175,22.05,18.675,4.875,0.64,8.95,,,,,,,6.875,96.0,1.65,186.25,0.0,0.0,18.5,742.0,
2023-01-05 08:00:00,54.25,104.0,8.375,27.549999999999997,21.475,20.575,4.675,0.7375,10.6,,,,,,,6.725,96.0,1.7999999999999998,194.0,0.0,0.0,25.75,742.0,
2023-01-05 09:00:00,66.5,117.5,9.125,29.8,23.25,19.925,5.15,0.8049999999999999,10.65,,,,,,,7.075,96.0,1.6,173.25,0.0,0.0,32.75,742.0,
2023-01-05 10:00:00,90.66666666666667,160.25,12.05,31.725,26.675,19.675,5.7,0.815,11.35,,,,,,,7.225,96.0,1.7,189.75,0.0,0.0,38.25,742.0,
2023-01-05 11:00:00,110.75,194.25,12.075,32.95,27.325,20.45,5.75,0.78,12.55,,,,,,,7.825,96.0,1.6,194.25,0.0,0.0,44.25,742.0,
2023-01-05 12:00:00,125.0,205.5,11.5,33.675,27.25,21.525,5.6,0.81,12.299999999999999,,,,,,,8.95,92.75,1.5250000000000001,183.75,0.0,0.0,53.5,742.0,
2023-01-05 13:00:00,155.5,232.5,11.9,35.625,28.6,21.875,5.95,0.845,16.05,,,,,,,10.45,80.0,2.2,182.5,0.0,0.0,94.0,742.0,
2023-01-05 14:00:00,171.5,236.75,8.225,38.075,26.95,22.625,5.05,0.89,23.25,,,,,,,11.8,73.25,2.225,187.25,0.0,0.0,85.75,742.0,
2023-01-05 15:00:00,183.25,304.0,5.225,39.575,25.35,23.0,4.975,0.915,26.85,,,,,,,12.4,72.0,2.325,233.25,0.0,0.0,58.5,742.0,
2023-01-05 16:00:00,198.75,339.0,3.95,34.9,21.775,21.0,4.9750000000000005,0.975,26.025,,,,,,,12.6,71.75,1.05,202.0,0.0,0.0,32.25,742.0,
2023-01-05 17:00:00,224.75,419.0,6.225,32.425,22.3,16.9,4.775,1.685,12.725,,,,,,,11.525,79.0,0.7,253.5,0.0,0.0,17.75,742.0,
2023-01-05 18:00:00,277.75,671.5,10.85,33.7,26.725,17.375,4.375,1.705,8.825,,,,,,,9.85,88.5,2.25,256.5,0.0,0.0,16.0,742.0,
2023-01-05 19:00:00,263.6666666666667,489.5,11.0,32.5,26.225,17.375,4.025,1.3675000000000002,8.125,,,,,,,8.7,93.75,2.15,252.75,0.0,0.0,15.5,742.0,
2023-01-05 20:00:00,225.75,382.75,9.85,30.9,24.45,18.075,4.4,1.1975,8.475,,,,,,,8.225,96.0,2.3,258.0,0.0,0.0,16.0,742.0,
2023-01-05 21:00:00,181.0,310.75,8.5,29.375,22.5,17.125,4.0,1.0575,10.025,,,,,,,8.125,96.0,1.75,247.0,0.0,0.0,16.0,742.0,
2023-01-05 22:00:00,146.5,227.75,5.9,27.8,19.575,15.925,4.25,0.89,15.5,,,,,,,8.3,96.0,1.35,215.25,0.0,0.0,15.25,742.0,
2023-01-05 23:00:00,145.75,232.5,4.55,26.15,17.575,14.8,3.8333333333333335,0.9133333333333334,12.125,,,,,,,8.675,96.0,0.925,218.0,0.0,0.0,15.25,742.0,
2023-01-06 00:00:00,170.0,304.75,4.9,26.625,18.125,17.05,3.0,0.9775,12.65,,,,,,,8.9,95.25,1.85,197.0,0.0,0.0,16.0,742.0,
2023-01-06 01:00:00,210.75,362.0,4.125,28.775,18.65,22.425,4.225,0.9325,14.5,,,,,,,8.775,92.25,1.85,171.75,0.0,0.0,16.0,742.0,
2023-01-06 02:00:00,217.0,355.75,4.075,30.75,19.65,23.9,2.7,0.895,11.5,,,,,,,8.5,92.75,1.875,204.25,0.0,0.0,16.0,742.0,
2023-01-06 03:00:00,221.5,367.0,4.7,31.925,20.775,24.175,3.3,0.85,13.25,,,,,,,8.350000000000001,93.0,1.25,206.5,0.0,0.0,16.0,742.0,
2023-01-06 04:00:00,222.75,384.5,4.55,33.2,21.35,24.2,3.1,0.8025,12.15,,,,,,,7.9,94.0,2.075,209.0,0.0,0.0,16.0,742.0,
2023-01-06 05:00:00,213.25,332.5,4.975,33.625,21.95,23.9,3.625,0.8175,11.175,,,,,,,7.975,93.5,1.1,187.25,0.0,0.0,16.0,742.0,
2023-01-06 06:00:00,214.5,344.75,5.625,33.95,22.6,23.575,4.325,0.81,11.325,,,,,,,7.775,93.0,1.5,166.25,0.0,0.0,16.0,742.0,
2023-01-06 07:00:00,212.0,348.0,6.675,34.375,23.725,23.075,3.65,0.865,10.525,,,,,,,7.85,91.75,1.35,148.75,0.0,0.0,16.75,742.0,
2023-01-06 08:00:00,205.75,355.0,7.3,34.6,24.35,22.825000000000003,3.75,0.8999999999999999,10.7,,,,,,,7.925,90.75,1.325,143.75,0.0,0.0,21.75,742.0,
2023-01-06 09:00:00,220.75,400.75,8.875,31.275,23.85,20.55,3.975,0.9600000000000001,10.375,,,,,,,8.05,88.5,1.875,184.25,0.0,0.0,31.0,742.0,
2023-01-06 10:00:00,242.25,456.5,13.825,33.599999999999994,29.125,27.375,4.275,0.9025,13.1,,,,,,,8.6,83.5,1.95,185.5,0.0,0.0,48.0,742.0,
2023-01-06 11:00:00,258.0,572.25,12.125,51.7,37.375,48.6,4.550000000000001,1.05,23.15,,,,,,,9.75,77.75,1.725,209.5,0.0,0.0,72.0,742.0,
2023-01-06 12:00:00,284.75,593.75,7.625,46.0,30.675,43.75,5.1,1.095,27.9,,,,,,,11.25,71.0,2.35,186.75,0.0,0.0,97.75,742.0,
2023-01-06 13:00:00,284.5,547.5,4.574999999999999,36.5,23.15,56.75,4.125,1.0175,31.9,,,,,,,11.525,68.5,2.9000000000000004,186.25,0.0,0.0,102.0,742.0,
2023-01-06 14:00:00,259.25,475.25,3.875,36.8,22.7,60.875,4.8,1.1,44.625,,,,,,,12.225,65.5,2.8,202.25,3.8,3.8,84.75,742.0,
2023-01-06 15:00:00,260.0,501.25,3.325,31.75,19.575,60.675,4.95,1.105,48.775,0.19999999999999998,0.5,0.10000000000000002,,0.13333333333333333,0.16666666666666666,13.15,60.5,2.225,194.25,0.0,0.0,58.0,742.0,
2023-01-06 16:00:00,240.25,483.25,2.975,36.875,22.05,47.075,5.65,0.955,38.325,0.35,0.8500000000000001,0.05,,0.15000000000000002,0.22499999999999998,13.1,61.75,1.8,205.5,0.0,0.0,37.5,742.0,
2023-01-06 17:00:00,243.25,508.0,4.3,45.5,27.7,39.325,5.425,1.145,26.425,0.35,1.05,0.125,,0.15000000000000002,0.275,12.7,66.75,1.1,178.25,0.0,0.0,20.25,742.0,
2023-01-06 18:00:00,280.5,616.0,6.1,47.4,30.2,40.0,5.775,2.08,11.8,0.6,2.3,0.475,,0.4,0.875,11.3,75.25,0.6,205.75,0.0,0.0,16.0,742.0,
2023-01-06 19:00:00,366.25,,15.0,53.4,40.6,38.15,6.0,2.7925,7.4,0.875,4.25,1.175,,0.8500000000000001,2.25,10.325,81.0,1.025,211.25,0.0,0.0,16.0,742.0,
2023-01-06 20:00:00,397.5,608.0,19.075,55.85,45.225,39.4,5.4,1.705,8.2,0.875,3.45,0.875,,0.7,1.65,9.625,82.25,2.425,205.5,0.0,0.0,16.0,742.0,
