Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,22.0725,35.747499999999995,8.89,18.9325,24.515,34.8725,3.13,0.365,9.775,2.5925000000000002,6.3575,0.33999999999999997,,0.35,0.71,,99.13,1.08,270.48,0.0,0.0,,,
2023-01-01 01:00:00,19.76,32.705,8.9375,18.9725,24.9225,35.2325,2.6925,0.3775,9.8775,2.5025,6.325,0.32,,0.3775,0.715,,99.13,0.7424999999999999,210.1775,0.0,0.0,,,
2023-01-01 02:00:00,19.94666666666667,33.82,9.0925,19.05,25.4,34.88666666666666,3.6325,0.3075,10.293333333333333,2.393333333333333,6.32,0.3233333333333333,,0.37333333333333335,0.7166666666666667,,99.13,0.8533333333333334,310.9275,0.0,0.0,,,
2023-01-01 03:00:00,21.27,32.012499999999996,8.8625,18.947499999999998,24.6575,34.825,4.025,0.3025,9.725,2.35,6.3100000000000005,0.3425,,0.39749999999999996,0.72,,99.13,1.1375,272.3275,0.0,0.0,,,
2023-01-01 04:00:00,17.2525,32.7325,9.120000000000001,19.27,25.0875,34.5875,10.7925,0.34750000000000003,10.2425,2.3225,6.36,0.355,,0.4625,0.8025,,99.13,1.2775,275.485,0.0,0.0,,,
2023-01-01 05:00:00,12.863333333333335,29.936666666666667,9.049999999999999,19.209999999999997,24.233333333333334,34.52333333333333,14.223333333333334,0.3633333333333333,10.1,2.2899999999999996,6.483333333333333,0.37666666666666665,,0.5133333333333333,0.8733333333333334,,99.13,1.2333333333333334,287.06666666666666,0.0,0.0,,,
2023-01-01 06:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 07:00:00,10.106666666666667,32.85,,18.650000000000002,24.679999999999996,35.20666666666667,,0.2866666666666667,10.073333333333332,,,,,,,,,1.0533333333333335,273.5933333333333,0.0,0.0,,,
2023-01-01 08:00:00,14.642499999999998,39.0,8.835,19.16,25.1675,35.2925,13.729999999999999,0.355,9.6675,1.29,4.14,0.16,,0.21,0.34,,96.92666666666666,1.0150000000000001,229.255,0.0,0.0,276.685,,
2023-01-01 09:00:00,20.6425,63.075,8.875,19.0425,24.7825,35.212500000000006,13.425,0.4425,9.75,3.1025,9.73,0.38,,0.51,0.875,,99.13,1.185,228.5,0.0,0.0,356.345,,
2023-01-01 10:00:00,29.4875,70.1775,8.895,18.8525,25.5975,35.295,7.775,0.435,9.7875,3.8825,10.86,0.455,,0.605,1.05,,96.745,1.4675,257.47749999999996,0.0,0.0,427.5025,,
2023-01-01 11:00:00,32.0,70.08,8.88,19.07,24.45,34.45,,0.47,9.76,4.06,10.59,0.46,,0.63,1.13,,89.7,1.53,279.16,0.0,0.0,448.66,,
2023-01-01 12:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 13:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-01-01 14:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
